,Intent,Query,Param
150,PlayMusic,can i hear a song by david hodges,song david hodges
151,GetWeather,book a restaurant 1 hour from now in dorchester shores reservation,1 hour from now dorchester shores reservation
152,PlayMusic,play a chant by mike jones,chant mike jones
153,GetWeather,what will the weather be like in 15 and a half weeks in china,in 15 and a half weeks china
154,GetWeather,how is the weather in oh,oh
155,GetWeather,will it be overcast in my current location at twelve pm,overcast current location twelve pm
156,GetWeather,will it be warm in chicamocha national park,warm chicamocha national park
157,PlayMusic,i want to hear some the roches,the roches
158,GetWeather,will it get hotter in the city of ashford,hotter ashford
159,PlayMusic,play the newest by exuma,newest exuma
160,PlayMusic,play vic ruggiero music from 2007,vic ruggiero 2007
161,PlayMusic,can you play some eighties music,eighties
162,PlayMusic,i want to hear a joel hastings melody,joel hastings melody
163,GetWeather,what will the weather be like in india at 02:55:25 am,india 02:55:25 am
164,PlayMusic,play a 1998 sound track from sam the kid on last fm,1998 sound track sam the kid last fm
165,PlayMusic,open pandora and play udhreko choli from chowdiah,pandora udhreko choli chowdiah
166,PlayMusic,play lily rosemary and the jack of hearts by chris goss,lily rosemary and the jack of hearts chris goss
167,GetWeather,will it rain here,rain here
168,PlayMusic,play new music from liang wern fook,new liang wern fook
169,GetWeather,check the forecast for natchaug state forest,natchaug state forest
170,PlayMusic,play moustapha amar make it rain,moustapha amar make it rain
171,GetWeather,what s the weather going to be like at my current spot at 7 am,current spot 7 am
172,GetWeather,what s the weather going to be like around lewis and clark trail sixteen hours from now,around lewis and clark trail sixteen hours from now
173,PlayMusic,play a ballad by owen pallett from the seventies on slacker,ballad owen pallett seventies slacker
174,PlayMusic,play music from lastfm and deezer,lastfm deezer
175,GetWeather,what s the weather forecast for my current position,current position
176,PlayMusic,play me something from the thirties by candi staton on vimeo,thirties candi staton vimeo
177,GetWeather,what is the weather like in the city of frewen in the country of venezuela,frewen venezuela
178,PlayMusic,play the newest sound track from the thirties,newest sound track thirties
179,PlayMusic,play the album everybody happy by lee aaron,album everybody happy lee aaron
180,GetWeather,i want the weather for saint martin next year,saint martin next year
181,PlayMusic,can you play the greatest songs by mauro picotto,greatest mauro picotto
182,PlayMusic,play me a song from luxury liner,song luxury liner
183,GetWeather,is it supposed to hail in ny,hail ny
184,PlayMusic,play some don ho on netflix,don ho netflix
185,PlayMusic,play a popular melody by lindsay lohan on youtube,popular melody lindsay lohan youtube
186,GetWeather,will it be colder in åland,colder åland
187,PlayMusic,play the top of emil de cou,top emil de cou
188,PlayMusic,play lighter by pamela jintana racine,lighter pamela jintana racine
189,GetWeather,what s the weather like nearby in rhode island,nearby rhode island
190,PlayMusic,play music which has humour on youtube,humour youtube
191,GetWeather,what is the expected weather forecast for beckley,beckley
192,GetWeather,is there a depression in delta junction,depression delta junction
193,GetWeather,what s the weather in singapore,singapore
194,GetWeather,what will the weather be in the current place 1 minute from now,current place 1 minute from now
195,GetWeather,what s the weather far away in estonia,far estonia
196,PlayMusic,play a melody by hagigat rzayeva,melody hagigat rzayeva
197,GetWeather,what is the weather forecast for shasha forest reserve in 43 weeks,shasha forest reserve in 43 weeks
198,PlayMusic,play spotify,spotify
199,PlayMusic,play some music from 2011 on lastfm,2011 lastfm
200,GetWeather,what s the forecast for mt next week,mt next week
201,GetWeather,whats the forecast for redby,redby
202,PlayMusic,play nineties,nineties
203,GetWeather,will there be a blizzard in chapel point state park or in the same area,blizzard chapel point state park in the same area
204,PlayMusic,play victoria banks s album,victoria banks album
205,GetWeather,will it be stormy in saint pierre and miquelon in the city of wenham,stormy saint pierre and miquelon wenham
206,PlayMusic,play khujo eighties track song,khujo eighties track song
207,PlayMusic,play out from under from hurricane chris,out from under hurricane chris
208,PlayMusic,play noche de chicas playlist,noche de chicas
209,PlayMusic,play some seventies songs from joseph genaro on google music,seventies joseph genaro google music
210,GetWeather,what will the weather be in fl on 1/11/2030,fl 1/11/2030
211,PlayMusic,play a keith richards album,keith richards album
212,PlayMusic,play a popular song by willie dixon on groove shark,popular song willie dixon groove shark
213,GetWeather,what will the weather be like on aug the 8th 2032 here,aug the 8th 2032 here
214,PlayMusic,play iheart,iheart
215,PlayMusic,play some sonu niigaam from the fifties,sonu niigaam fifties
216,PlayMusic,open lastfm and play hot lips page from the sixties,lastfm hot lips page sixties
217,GetWeather,what is the weather in the netherlands,netherlands
218,GetWeather,what is the baotianman national nature reserve forecast,baotianman national nature reserve
219,GetWeather,what is the weather forecast for sunset in bouvet island,sunset bouvet island
220,PlayMusic,play the top-ten soundtrack from kiara,top-ten soundtrack kiara
221,PlayMusic,please play something that s freak folk on google music,freak folk google music
222,GetWeather,what will be the weather like close by kackley,close kackley
223,PlayMusic,use youtube to play music from dorothy ashby from the year 2002,youtube dorothy ashby 2002
224,GetWeather,what will the weather be like at me current position in seventeen seconds,current position in seventeen seconds
225,GetWeather,will it be hot in keachi,hot keachi
226,PlayMusic,play some rap on pandora,rap pandora
227,PlayMusic,play the it could only happen with you album by lawrence,it could only happen with you album lawrence
228,GetWeather,will it get chillier in furano-ashibetsu prefectural natural park,chillier furano-ashibetsu prefectural natural park
229,PlayMusic,play the top jazz record from 1951,top record 1951
230,GetWeather,what will the weather be in worthington springs,worthington springs
231,PlayMusic,play the album remember shakti – the believer,album remember shakti – the believer
232,PlayMusic,play me something on last fm,last fm
233,PlayMusic,play play lodge by alkabli on lastfm,lodge alkabli lastfm
234,PlayMusic,play the best bruce ruffin music on youtube,best bruce ruffin youtube
235,PlayMusic,play a tune by layne staley,tune layne staley
236,GetWeather,tell me the weather for comertown,comertown
237,PlayMusic,play a concerto top ten sort by lloyd,concerto top ten lloyd
238,GetWeather,how will the weather be in new mexico around 00:09:07 am,new mexico 00:09:07 am
239,PlayMusic,play by the sleepy lagoon by greg kurstin,by the sleepy lagoon greg kurstin
240,GetWeather,what s the weather in taiwan,taiwan
241,GetWeather,is it freezing at jasmund national park,freezing jasmund national park
242,PlayMusic,play some twenties chant music on slacker,twenties chant slacker
243,GetWeather,what is the forecast for west virginia will it be snowy,west virginia snowy
244,GetWeather,what will be the wind speed around pembina gorge state recreation area october the 27th,wind pembina gorge state recreation area october the 27th
245,GetWeather,what s the weather forecast at sixteen in oklahoma,sixteen oklahoma
246,PlayMusic,play my piano ballads playlist,piano ballads
247,PlayMusic,give me an album from 1972 to listen to,album 1972
248,PlayMusic,play a 1969 ballad by beth nielsen chapman new first,1969 ballad beth nielsen chapman new
249,GetWeather,what is the cold forecast for our current position,cold current position
250,PlayMusic,play the next ep by video game pianist on netflix,ep video game pianist netflix
251,PlayMusic,play glenn yarbrough tunes,glenn yarbrough
252,PlayMusic,play sivamani,sivamani
253,GetWeather,tell me the weather forecast for june seventeenth 2034 in fl,june seventeenth 2034 fl
254,GetWeather,is it chillier here,chillier here
255,PlayMusic,play a top fifty ballad by linda strawberry on google music,top fifty ballad linda strawberry google music
256,PlayMusic,open itunes and play kenny cox most popular concerto,itunes kenny cox most popular concerto
257,GetWeather,is it going to be hot in karthaus at 7 am,hot karthaus 7 am
258,GetWeather,will it be overcast in luxembourg in fourteen seconds,overcast luxembourg in fourteen seconds
259,GetWeather,what will be the weather like close by kackley,close kackley
260,PlayMusic,play randy castillo s music from 1952,randy castillo 1952
261,GetWeather,what s the weather forecast for my current spot in eight hours,current spot in eight hours
262,GetWeather,will the weather be the same here in one week in the same area,same here in one week in the same area
263,GetWeather,what is the weather now in james city,now james city
264,GetWeather,is it going to be freezing in lolita,freezing lolita
265,GetWeather,what s the weather in andorra,andorra
266,GetWeather,will it be hotter next month in south dakota,hotter next month south dakota
267,PlayMusic,play rocket queen on itunes,rocket queen itunes
268,PlayMusic,play the best music by arthur johnston,best arthur johnston
269,PlayMusic,play my melodious playlist,melodious
270,GetWeather,tell me when it will be warmer in my current position,warmer current position
271,PlayMusic,play addicted to you by hank ballard,addicted to you hank ballard
272,PlayMusic,play sivamani,sivamani
273,PlayMusic,i want to hear some twenties music off of deezer,twenties deezer
274,GetWeather,what is the weather close-by my current spot,close-by current spot
275,PlayMusic,can you play an ep from the year 1958,ep 1958
276,PlayMusic,play crazy=genius by the alchemist,crazy=genius the alchemist
277,GetWeather,what will the weather be in port costa fm will it be foggy,port costa fm foggy
278,GetWeather,is there snowfall in zec mitchinamecus at 13,snowfall zec mitchinamecus 13
279,GetWeather,when is sunrise in american samoa,sunrise american samoa
280,GetWeather,will there be a lot of sun in dry prong somalia at 5 pm,sun dry prong somalia 5 pm
281,GetWeather,what will the weather be like four seconds from now in south dakota,four seconds from now south dakota
282,GetWeather,will it hail in rush valley denmark on 6/21/2035,hail rush valley denmark 6/21/2035
283,PlayMusic,play the top-fifty theme songs by dennis brown,top-fifty theme dennis brown
284,PlayMusic,open lastfm and start playing whatever,lastfm
285,GetWeather,is it going to be windy here on nov 17,windy here nov 17
286,PlayMusic,open deezer and play top 40 hits,deezer top
287,GetWeather,give me the weather forecast for the city of archie,archie
288,PlayMusic,i wish to enjoy some fifties music by johnny paycheck,fifties johnny paycheck
289,PlayMusic,i want to hear a top-50 track from takahito eguchi on google music,top-50 track takahito eguchi google music
290,GetWeather,is there any predicted snowfall in 2 months in vandalia el salvador,snowfall in 2 months vandalia el salvador
291,PlayMusic,play tad kinchla soundtrack,tad kinchla soundtrack
292,PlayMusic,play a new ballad by valy on iheart,new ballad valy iheart
293,GetWeather,what s the weather 1 minute from now in mount nimba strict nature reserve,1 minute from now mount nimba strict nature reserve
294,GetWeather,give me the weather forecast for lower lake on sep 21 2038,lower lake sep 21 2038
295,PlayMusic,play a twenties soundtrack on youtube,twenties soundtrack youtube
296,PlayMusic,play stefon harris s song,stefon harris song
297,GetWeather,how is the weather going to be in pearblossom,pearblossom
298,GetWeather,show weather forcast here at 19,here 19
299,PlayMusic,play me the new king curtis music on google music,new king curtis google music
300,PlayMusic,play music from 1977,1977
301,PlayMusic,play a song from 2013,song 2013
302,GetWeather,how s the weather going to be on jul 2 in whiteside,jul 2 whiteside
303,PlayMusic,i would like to hear music from 1993,1993
304,GetWeather,what will the weather be in worthington springs,worthington springs
305,GetWeather,what is the weather like for fleischmanns lesotho 43 weeks from now,fleischmanns lesotho 43 weeks from now
306,PlayMusic,play music from jeremy taylor on the album dormi amore la situazione non è buona on groove shark,jeremy taylor album dormi amore la situazione non è buona groove shark
307,PlayMusic,play the top ten theme music from 1975 by tom baxter,top ten theme 1975 tom baxter
308,PlayMusic,play the new timer by augustus pablo with itunes,the new timer augustus pablo itunes
309,GetWeather,will it be overcast a month from now here,overcast a month from now here
310,GetWeather,will there be rainfall faraway from uganda,rainfall faraway uganda
311,PlayMusic,play 1990 tunes on groove shark,1990 groove shark
312,GetWeather,what s the weather going to be in jun in burkina,jun burkina
313,GetWeather,this month will the sun be scorching in la,this month sun la
314,PlayMusic,play music on the playlist electronic gaming,electronic gaming
315,GetWeather,weather for park narodowy kushiro-shitsugen,park narodowy kushiro-shitsugen
316,GetWeather,is the weather overcast here and now,overcast here now
317,GetWeather,what s the weather in swift river reservation,swift river reservation
318,PlayMusic,play the most popular song from chae yeon off of spotify,most popular song chae yeon spotify
319,PlayMusic,play tomorrow,tomorrow
320,GetWeather,check the weather for kenedy vanuatu for around nine am,kenedy vanuatu nine am
321,GetWeather,what s the weather forecast for mi for august 20th,mi august 20th
322,PlayMusic,play some 2002 music,2002
323,PlayMusic,play the greatest ballad from the seventies,greatest ballad seventies
324,GetWeather,what s the weather forecast for 8 hours from now in cape verde,8 hours from now cape verde
325,GetWeather,will it be cloudy one hour from now in my current position,cloudy one hour from now current position
326,GetWeather,what will the weather be in umatilla malta,umatilla malta
327,GetWeather,what will the weather be in hillview,hillview
328,PlayMusic,play some fourties music on zvooq,fourties zvooq
329,PlayMusic,find a top fifty zahir howaida concerto from the seventies,top fifty zahir howaida concerto seventies
330,GetWeather,weather for my nearby current location,nearby current location
331,PlayMusic,on itunes play the latest anna yesipova ep,itunes latest anna yesipova ep
332,PlayMusic,play one way ticket by ray kennedy,one way ticket ray kennedy
333,PlayMusic,play the top 10 by sankha chatterjee,top 10 sankha chatterjee
334,GetWeather,what is the weather forecast in pinson south dakota,pinson south dakota
335,GetWeather,is there rain in afghanistan,rain afghanistan
336,GetWeather,is it forecast to be rainy in winchell mississippi,rainy winchell mississippi
337,PlayMusic,play used to love her by dara,used to love her dara
338,GetWeather,what is the current place forecast,current place
339,GetWeather,what is the currituck national wildlife refuge forecast for chilly conditions,currituck national wildlife refuge chilly
340,GetWeather,what is the fiji forecast for warm temps,fiji warm
341,PlayMusic,play music from 2012 on netflix,2012 netflix
342,GetWeather,will there be rain today in greece,rain today greece
343,GetWeather,will it get colder in cape fair,colder cape fair
344,GetWeather,can you give me the weather forecast in tajikistan,tajikistan
345,PlayMusic,play a twenties concerto from roger taylor on deezer,twenties concerto roger taylor deezer
346,GetWeather,check the weather for around nine in south georgia and the south sandwich islands,nine south georgia and the south sandwich islands
347,PlayMusic,listen to ballad songs from 1999,ballad 1999
348,GetWeather,will it be hot in my current location this week,hot current location this week
349,GetWeather,in khlong phraya wildlife sanctuary is there a cloud,khlong phraya wildlife sanctuary cloud
350,PlayMusic,play a 1994 tune by lena horne,1994 tune lena horne
351,GetWeather,how much humidity in mancos,humidity mancos
352,GetWeather,will it hail in 1 minute in toms river,hail in 1 minute toms river
353,GetWeather,will the sun come out today in houston,sun today houston
354,PlayMusic,plya a tune by kancherla gopanna from 1951 on zvooq,tune kancherla gopanna 1951 zvooq
355,GetWeather,i need to know the forecast for two am in grand lake towne,two am grand lake towne
356,GetWeather,forecast for israel,israel
357,PlayMusic,play groove shark,groove shark
358,PlayMusic,play fey s album diamond head on zvooq,fey album diamond head zvooq
359,GetWeather,what will the weather be like on feb sixth 2024 at blanco state park,feb sixth 2024 blanco state park
360,GetWeather,what s the weather in springside nature reserve at four pm,springside nature reserve four pm
361,PlayMusic,can you play an ep from the year 1958,ep 1958
362,PlayMusic,play my hype playlist on youtube,hype youtube
363,GetWeather,what s the forecast for my current spot,current spot
364,GetWeather,can you please give me the forecast for the dominica,dominica
365,PlayMusic,play a 1977 record by bitty mclean on google music,1977 record bitty mclean google music
366,GetWeather,what s the forecast for north amityville,north amityville
367,GetWeather,will it be hotter in my current place in six weeks from now,hotter current place six weeks from now
368,PlayMusic,play music from 2002,2002
369,GetWeather,is it going to be hotter in d lo,hotter d lo
370,PlayMusic,want to hear a chant by nellie mckay from the year 2008,chant nellie mckay 2008
371,PlayMusic,play some rockwell from around 1996,rockwell 1996
372,PlayMusic,play a movement from 1974,movement 1974
373,GetWeather,will it be even hotter 2 years from now in el jebel niger,hotter 2 years from now el jebel niger
374,PlayMusic,lets hear some 2009 music,2009
375,PlayMusic,play marche lorraine by rachael lampa,marche lorraine rachael lampa
376,PlayMusic,play the song two suns in the sunset by airi suzuki,song two suns in the sunset airi suzuki
377,GetWeather,what is the weather of ludowici at 4 am,ludowici 4 am
378,GetWeather,is it going to be hot in chrisman,hot chrisman
379,PlayMusic,play elastic love by junior marvin,elastic love junior marvin
380,PlayMusic,play me music by whip with zvooq,whip zvooq
381,PlayMusic,play soem nineties charles thompson,nineties charles thompson
382,PlayMusic,play justin broadrick s music on slacker,justin broadrick slacker
383,GetWeather,how is faraway cloudy at 02:45 am in brumley,faraway cloudy 02:45 am brumley
384,GetWeather,is it better in holi or here,holi here
385,GetWeather,what is the weather forecast for friona,friona
386,PlayMusic,play within you without you by distance on zvooq,within you without you distance zvooq
387,GetWeather,will the weather be temperate 22 minutes from now in alba,temperate 22 minutes from now alba
388,GetWeather,what s the humidity right now in aguila,humidity now aguila
389,PlayMusic,i d like to listen to tom cochrane s 1990 ep on zvooq,tom cochrane 1990 ep zvooq
390,GetWeather,will it be warm at tembe elephant park on san jacinto day,warm tembe elephant park san jacinto day
391,GetWeather,will it hail in 1 second on riceboro delaware,hail in 1 second riceboro delaware
392,PlayMusic,play some nineties eliza carthy,nineties eliza carthy
393,PlayMusic,i want to hear some psychedelic rock,psychedelic rock
394,PlayMusic,play the top ten theme music from 1975 by tom baxter,top ten theme 1975 tom baxter
395,PlayMusic,can you play a song from the fourties by george martin,song fourties george martin
396,GetWeather,tell me if it ll be snowy in coastal landscape park on october 2 2027,snowy coastal landscape park october 2 2027
397,PlayMusic,play a seventies ballad by annunzio paolo mantovani on groove shark,seventies ballad annunzio paolo mantovani groove shark
398,GetWeather,tell me the weather forecast for mokena,mokena
399,GetWeather,what s the forecast for al twenty one minutes from now,al twenty one minutes from now
400,PlayMusic,play i believe from chico buarque off of iheart,i believe chico buarque iheart
401,PlayMusic,play the newest twenties melody,newest twenties melody
402,PlayMusic,i wanna hear something on spotify by eddie vinson,spotify eddie vinson
403,GetWeather,what is the weather like in roeland park guadeloupe,roeland park guadeloupe
404,PlayMusic,play artist stu davis from the album dub chamber 3 on netflix,stu davis album dub chamber 3 netflix
405,PlayMusic,play genre opera,opera
406,PlayMusic,play music from art porter junior movie sound track using vimeo,art porter junior sound track vimeo
407,GetWeather,will there be cloud action in saint bernard virgin islands,cloud saint bernard virgin islands
408,GetWeather,will it be warm within walking distance of saint pierre and miquelon,warm within walking distance saint pierre and miquelon
409,GetWeather,what is the weather forecast for tanque,tanque
410,PlayMusic,play the top-twenty from tony calder off slacker,top-twenty tony calder slacker
411,PlayMusic,play junun by noam kaniel,junun noam kaniel
412,GetWeather,what is the forecast for january twenty-eighth in kentmore park,january twenty-eighth kentmore park
413,PlayMusic,open groove shark and play jason mizell,groove shark jason mizell
414,GetWeather,will it be hot in dongola cameroon,hot dongola cameroon
415,GetWeather,what will the weather be in worthington springs,worthington springs
416,PlayMusic,play some mf doom from the sixties on pandora,mf doom sixties pandora
417,PlayMusic,play some music by jody williams from 2001,jody williams 2001
418,GetWeather,what s the weather like in ojo amarillo,ojo amarillo
419,GetWeather,what is the weather forecast for tennessee for warm temps,tennessee warm
420,PlayMusic,play dancing through life by ronald isley on spotify,dancing through life ronald isley spotify
421,GetWeather,is it humid in caddo mills ky,humid caddo mills ky
422,GetWeather,will it be hot three minutes from now faraway from saint croix state park,hot three minutes from now faraway saint croix state park
423,PlayMusic,play record from the seventies,record seventies
