,Intent,Query,Param
53,GetWeather,show weather forecast in east tawakoni italy at four pm,east tawakoni italy four pm
54,PlayMusic,play vimeo 2009 by desmond dekker,vimeo 2009 desmond dekker
55,SEARCH,what is the largest island of north america,NONE
56,SEARCH,what color is the cue ball in pool,NONE
57,SEARCH,who was the leader of the soviet union when the berlin wall was built,NONE
58,GetWeather,will it be nice here and in the same area,here in the same area
59,PlayMusic,please play a song off the curtis lee album rough diamonds,song curtis lee album rough diamonds
60,SEND_MESSAGE,Message my grandma and ask her if she wants me to bring something to dinner.,[SL:RECIPIENT 
61,SEND_MESSAGE,tell my boyfriend to meet for drinks at Outback tonight,[SL:RECIPIENT 
62,GetWeather,will it be windy at two pm in france,windy two pm france
63,SEND_MESSAGE,let joanne know that I expect to be at her house by 1 pm so please  be ready,[SL:RECIPIENT joanne ] know that [SL:CONTENT_EXACT I expect to be at her house by 1 pm so please be ready ] 
64,SEARCH,who holds the major league baseball career hits record,NONE
65,SEARCH,when did amnesia the dark descent come out,NONE
66,GetWeather,on 2/25/2025 will it be hot in holstein,2/25/2025 hot holstein
67,SEARCH,season 2 this is us number of episodes,NONE
68,SEARCH,what causes the ocean tides to rise and fall,NONE
69,SEARCH,when does season 8 of shameless come back,NONE
70,SEARCH,nigeria change from left to right hand drive,NONE
71,SEND_MESSAGE,Hurry and message my girlfriend so she knows that the book club meeting is at our house tommorow night at 11.,[SL:RECIPIENT 
72,SEND_MESSAGE,Text Mom and tell her Ill be at the show Next Thursday,[SL:RECIPIENT 
73,SEND_MESSAGE,message Mary to see if meeting is cancelled,[SL:RECIPIENT Mary ] to see if [SL:CONTENT_EXACT meeting is cancelled ] 
74,GetWeather,what is the forecast for papua new guinea for lunch for rainfall,papua new guinea lunch rainfall
75,SEND_MESSAGE,Message Tom and tell him to meet me at 4th and Cherry,[SL:RECIPIENT Tom ] and tell him to [SL:CONTENT_EXACT meet me at 4th and Cherry ] 
76,SEARCH,when does the new saw 8 come out,NONE
77,SEND_MESSAGE,message family that im ok,[SL:RECIPIENT 
78,SEND_MESSAGE,Please send the message 'Happy Birthday' to Jeanie,[SL:CONTENT_EXACT Happy Birthday ] ' to [SL:RECIPIENT Jeanie ] 
79,SEND_MESSAGE,Please send a message to Laura and ask her where the best place to park is that's closest to the theater Saturday night.,[SL:RECIPIENT Laura ] and ask her [SL:CONTENT_EXACT where the best place to park is that 's closest to the theater Saturday night ] . 
80,SEARCH,when was the temple of venus and roma built,NONE
81,GET_MESSAGE,Any video messages from the Dubrovnik group?,[SL:TYPE_CONTENT video ] messages from the [SL:GROUP Dubrovnik ] group ? 
82,GET_MESSAGE,Any video subject matter from the Ragusa chemical group?,[SL:TYPE_CONTENT video ] messages from the [SL:GROUP Dubrovnik ] group ? 
83,GetWeather,tell me the weather forecast for equatorial guinea,equatorial guinea
84,PlayMusic,i want to hear this is the night from proof,this is the night proof
85,SEND_MESSAGE,send a follow-up message to mike to see if he's in town this weekend,[SL:RECIPIENT mike ] to see if [SL:CONTENT_EXACT he 's in town this weekend ] 
86,SEARCH,what channel is big 10 network on fios,NONE
87,SEARCH,who played junior on in the heat of the night,NONE
88,SEND_MESSAGE,message joey to see if he has plans for the 4th of july,[SL:RECIPIENT joey ] to see if [SL:CONTENT_EXACT he has plans for the 4th of july ] 
89,SEARCH,what does the c stand for chrysler 300c,NONE
90,GetWeather,what s the weather in paris,paris
91,SEARCH,what was the most important new religious figure of the new kingdom of ancient egypt,NONE
92,SEND_MESSAGE,Send message to my assistant to cancel my meetings today because of road closure,[SL:RECIPIENT my assistant ] to [SL:CONTENT_EXACT cancel my meetings today because of road closure ] 
93,GET_MESSAGE,Read Anthony's text to me this morning,[SL:SENDER Anthony ] 's text to [SL:RECIPIENT me ] [SL:DATE_TIME this morning ] 
94,GET_MESSAGE,Read Antonius ' s schoolbook to pine tree state this morning,[SL:SENDER Anthony ] 's text to [SL:RECIPIENT me ] [SL:DATE_TIME this morning ] 
95,SEARCH,who was the famous scientist that ran the research lab moseley went to in manchester,NONE
96,PlayMusic,play the theme music from 1963 by yuki koyanagi,theme 1963 yuki koyanagi
97,PlayMusic,play a tune by layne staley,tune layne staley
98,PlayMusic,i d like to hear cry baby cry by ally kerr,cry baby cry ally kerr
99,GetWeather,what s the humidity right now in aguila,humidity now aguila
100,SEARCH,the most common form of megalithic architecture in europe is,NONE
101,SEND_MESSAGE,Message Chris to tell him the party has been cancelled.,[SL:RECIPIENT Chris ] to tell him [SL:CONTENT_EXACT the party has been cancelled ] . 
102,SEND_MESSAGE,send Chris a message that I'm running late for the meeting,[SL:RECIPIENT Chris ] a message that [SL:CONTENT_EXACT I'm running late for the meeting ] 
103,SEND_MESSAGE,Message Jen and ask if she has plans for this weekend.,[SL:RECIPIENT Jen ] and ask if [SL:CONTENT_EXACT she has plans for this weekend ] . 
104,SEND_MESSAGE,SEND A MESSAGE TO SEBRINA ASKING IF SHE'S GOING TO HELP ME OR NOT,[SL:RECIPIENT SEBRINA ] ASKING IF [SL:CONTENT_EXACT SHE 'S GOING TO HELP ME OR NOT ] 
105,PlayMusic,play crazy=genius by the alchemist,crazy=genius the alchemist
106,SEARCH,when did boston last win the world series,NONE
107,SEND_MESSAGE,Send a message to Tiff asking if she can meet us at the Olive Garden at 6pm tonight.,[SL:RECIPIENT Tiff ] asking if [SL:CONTENT_EXACT she can meet us at the Olive Garden at 6 pm tonight ] . 
108,SEND_MESSAGE,Message Judy we need plastic utensils for the meal,[SL:RECIPIENT Judy ] [SL:CONTENT_EXACT we need plastic utensils for the meal ] 
109,SEARCH,who is the owner of phoenix mall in chennai,NONE
110,SEND_MESSAGE,Message Mark that the poetry reading will be at the library Saturday afternoon.,[SL:RECIPIENT Mark ] that [SL:CONTENT_EXACT the poetry reading will be at the library Saturday afternoon ] . 
111,SEND_MESSAGE,send a message to Ronnie saying I'm on my way,[SL:RECIPIENT Ronnie ] saying [SL:CONTENT_EXACT I'm on my way ] 
112,SEND_MESSAGE,Message mom saying that remember to brink sun screen,[SL:RECIPIENT 
113,SEARCH,what song did the titanic band play when it sank,NONE
114,SEARCH,a good that can be used in place of another good,NONE
115,GetWeather,what is forecast in keyes summit in new mexico at 3 pm,keyes summit new mexico 3 pm
116,SEARCH,who plays chummy's mother in call the midwife,NONE
117,SEARCH,actress who played camille in death in paradise,NONE
118,PlayMusic,play some sonu niigaam from the fifties,sonu niigaam fifties
119,SEARCH,when was the last time michigan basketball won the championship,NONE
120,SEARCH,what nqf level is a master's degree,NONE
121,PlayMusic,play music from 2015,2015
122,SEARCH,who won the american league pennant in 2017,NONE
123,GetWeather,is it supposed to be chilly in boiling spring lakes,chilly boiling spring lakes
124,SEARCH,where does us highway 1 start and end,NONE
125,SEND_MESSAGE,send happy birthday message to jaclyn,[SL:CONTENT_EXACT happy birthday ] message to [SL:RECIPIENT jaclyn ] 
126,SEARCH,what river flows through charleston west virginia’s capital,NONE
127,SEARCH,where did you go to drink during prohibition,NONE
128,GetWeather,check the weather for eagle harbor tanzania,eagle harbor tanzania
129,PlayMusic,play something by louis nelson delisle,louis nelson delisle
130,SEARCH,who's the voice of phil phillips in the happytime murders,NONE
131,GET_MESSAGE,What new messages are there in League of Legends thread?,[SL:TAG_MESSAGE new ] messages are there in [SL:GROUP League of Legends ] thread ? 
132,GET_MESSAGE,What modern messages be in that location in League of Legends thread?,[SL:TAG_MESSAGE new ] messages are there in [SL:GROUP League of Legends ] thread ? 
133,SEARCH,who sang it must have been love but its over now,NONE
134,GetWeather,is it warm at seven am in greenland,warm seven am greenland
135,SEARCH,who sings two pints of lager and a packet of crisps,NONE
136,GetWeather,what s the forecast for georgia,georgia
137,SEND_MESSAGE,Ask Ken if he took the dog out this morning.,[SL:RECIPIENT Ken ] if [SL:CONTENT_EXACT he took the dog out this morning ] . 
138,PlayMusic,play my hardstyle baby playlist on netflix,hardstyle baby netflix
139,PlayMusic,play me a mario vazquez movement,mario vazquez movement
140,GetWeather,is there a storm here,storm here
141,SEARCH,when did the soviet union start and end,NONE
142,SEARCH,who was the first black person to register to vote,NONE
143,PlayMusic,play a melody by colin blunstone,melody colin blunstone
144,SEND_MESSAGE,Tell Jo I will be on time.,[SL:RECIPIENT Jo ] [SL:CONTENT_EXACT I will be on time ] . 
145,PlayMusic,play the best music by arthur johnston,best arthur johnston
146,SEND_MESSAGE,Message Micah to see if he is still going to Ulfheim concert,[SL:RECIPIENT Micah ] to see if [SL:CONTENT_EXACT he is still going to Ulfheim concert ] 
147,SEARCH,who decides whether expert witnesses can testify in court,NONE
148,SEND_MESSAGE,I am going to the Food Warehouse in a few hours so send Don a message asking what food he would like me to get,[SL:RECIPIENT Don ] a message asking [SL:CONTENT_EXACT what food he would like me to get ] 
149,SEARCH,where did the french immigrants settle in texas,NONE
150,SEND_MESSAGE,message gwen that I love the present she sent me,[SL:RECIPIENT gwen ] that [SL:CONTENT_EXACT I love the present she sent me ] 
151,SEND_MESSAGE,Message Reggie to ask him what time he will arrive.,[SL:RECIPIENT Reggie ] to ask him [SL:CONTENT_EXACT what time he will arrive ] . 
152,GetWeather,what is the weather going to be at dinner time in the lake le-aqua-na state recreation area,dinner lake le-aqua-na state recreation area
153,SEND_MESSAGE,Help me make and send a video message for the open casting call.,[SL:TYPE_CONTENT video ] message for the open casting call . 
154,GetWeather,will it be warm neighboring here in whitehouse,warm neighboring here whitehouse
155,GetWeather,weather at stanford at six am,stanford six am
156,GetWeather,is it hot in wind ridge guam,hot wind ridge guam
157,SEARCH,progress in neuropsychopharmacology & biological psychiatry impact factor,NONE
158,SEARCH,what is the name of the main artery which takes blood from the heart to the body,NONE
159,GetWeather,forecast for vi,vi
160,SEND_MESSAGE,Text Amaya and ask her when does the pool open for good.,[SL:RECIPIENT Amaya ] and ask her [SL:CONTENT_EXACT when does the pool open for good ] . 
161,PlayMusic,play in every dream home a heartache by vincent paul abbott,in every dream home a heartache vincent paul abbott
162,SEND_MESSAGE,Message my aunt Debbie and tell her I got her card in the mail,[SL:RECIPIENT 
163,GetWeather,how is the weather in edesville mn,edesville mn
164,PlayMusic,play a soundtrack by mike hindert on spotify,soundtrack mike hindert spotify
165,PlayMusic,i want to hear a fourties ballad by luciano,fourties ballad luciano
166,SEARCH,when did the angel of the north get built,NONE
167,PlayMusic,play 2004 guy sebastian on itunes,2004 guy sebastian itunes
168,SEARCH,where is the new stadium being built in las vegas,NONE
169,GET_MESSAGE,Show me who sent the latest message,[SL:ORDINAL latest ] message 
170,GET_MESSAGE,Show me world health organization beam the latest substance,[SL:ORDINAL latest ] message 
171,SEARCH,who has been a chief minister governer vice president and president of india,NONE
172,SEARCH,what type of planet is neptune known as,NONE
173,PlayMusic,play a new soundtrack by benjamin darvill on groove shark,new soundtrack benjamin darvill groove shark
174,PlayMusic,play me a mel draisey tune from the fourties with vimeo,mel draisey tune fourties vimeo
175,SEND_MESSAGE,Send a thank you text to my parents,[SL:CONTENT_EXACT thank you ] text to [SL:RECIPIENT 
176,SEARCH,icc world cup outside england first time sponsor,NONE
177,SEARCH,when does the new season of sabrina start on netflix,NONE
178,GET_MESSAGE,Did my mom text me?,[SL:SENDER 
179,GET_MESSAGE,Did my mom text me?,[SL:SENDER 
180,PlayMusic,i want to hear a good album from toni cottura,good album toni cottura
181,SEARCH,where was because i could not stop for death published,NONE
182,PlayMusic,play elkie brooks seventies sound track,elkie brooks seventies sound track
183,SEND_MESSAGE,Message Anne and ask her if she can make her chicken corn chowder for Christmas Day,[SL:RECIPIENT Anne ] and ask her if [SL:CONTENT_EXACT she can make her chicken corn chowder for Christmas Day ] 
184,GetWeather,will it be hot in keachi,hot keachi
185,GET_MESSAGE,would you pull up my chat requests,
186,GET_MESSAGE,would you draw in astir my chat requests,
187,SEARCH,malcom in the middle season 1 episode 3,NONE
188,SEARCH,what's the biggest nfl stadium in the united states,NONE
189,GET_MESSAGE,please look up chat requests,
190,GET_MESSAGE,please look upwardly chat request,
191,SEARCH,who played the role of chandler bing in the tv series friends,NONE
192,SEND_MESSAGE,Message Sara and ask what is the best way to get from the zoo to her house.,[SL:RECIPIENT Sara ] and ask [SL:CONTENT_EXACT what is the best way to get from the zoo to her house ] . 
193,GetWeather,weather for jan 7 in north carolina,jan 7 north carolina
194,PlayMusic,play me a song from luxury liner,song luxury liner
195,PlayMusic,play the most popular ep by marcel khalife on netflix,most popular ep marcel khalife netflix
196,GetWeather,tell me if it will be hot on jun the 10th in san de fuca sweden,hot jun the 10th san de fuca sweden
197,PlayMusic,play track real talk,track real talk
198,SEND_MESSAGE,message marie the library fundraiser is this weekend,[SL:RECIPIENT marie ] [SL:CONTENT_EXACT the library fundraiser is this weekend ] 
199,SEND_MESSAGE,Send a message to Mike  asking where is the Grady Kids Ride going to be held?,[SL:RECIPIENT Mike ] asking [SL:CONTENT_EXACT where is the Grady Kids Ride going to be held ] ? 
200,SEND_MESSAGE,Message Casey to see if she is running in the Santa Monica 5k.,[SL:RECIPIENT Casey ] to see if [SL:CONTENT_EXACT she is running in the Santa Monica 5k ] . 
201,SEARCH,a management information system is which type of system,NONE
202,SEARCH,who won the governor's election in iowa,NONE
203,GET_MESSAGE,Get me the texts from the sports group,[SL:GROUP sports ] group 
204,GET_MESSAGE,Get maine the texts from the sport group,[SL:GROUP sports ] group 
205,GetWeather,will it get warmer in czechia,warmer czechia
206,SEARCH,which indian actor has won most national awards,NONE
207,SEND_MESSAGE,Message Fred to see if he is going to still be an exotic dancer in Canada,[SL:RECIPIENT Fred ] to see if [SL:CONTENT_EXACT he is going to still be an exotic dancer in Canada ] 
208,SEARCH,who won the super heavyweight gold medal at the 2000 olympics,NONE
209,GetWeather,will it get hotter in zenith ct,hotter zenith ct
210,GET_MESSAGE,Show messages from Brian,[SL:SENDER Brian ] 
211,GET_MESSAGE,Display content from Brian,[SL:SENDER Brian ] 
212,SEARCH,what is one to one in a function,NONE
213,SEND_MESSAGE,Message Steve and let him know I will be a few minutes late.,[SL:RECIPIENT Steve ] and let him know [SL:CONTENT_EXACT I will be a few minutes late ] . 
214,PlayMusic,play a top five jonny buckland symphony from around 1989,top five jonny buckland symphony 1989
215,PlayMusic,use the service zvooq to play merengue music,zvooq merengue
216,SEARCH,who sang at last year's super bowl,NONE
217,SEND_MESSAGE,Tell JJ I won't be able to make it due to the snow conditions.,[SL:RECIPIENT JJ ] [SL:CONTENT_EXACT I won't be able to make it due to the snow conditions ] . 
218,GetWeather,is it supposed to be stormy in seagraves,stormy seagraves
219,SEARCH,who won the grudge match on ink master,NONE
220,GetWeather,what is the weather forecast for maryland,maryland
221,PlayMusic,play industrial music,industrial
222,SEND_MESSAGE,Ask my aunt what day the strawberry farm opens.,[SL:RECIPIENT 
223,PlayMusic,play music from 2012 by yossif kobzon on last fm,2012 yossif kobzon last fm
224,PlayMusic,play groove shark folk-rock,groove shark folk-rock
225,GetWeather,what is the weather forecast for wa on september 11 2021,wa september 11 2021
226,PlayMusic,play movement music by monk boudreaux on youtube,movement monk boudreaux youtube
227,SEND_MESSAGE,message melanie and see if she's going to the wedding this weekend,[SL:RECIPIENT melanie ] and see if [SL:CONTENT_EXACT she 's going to the wedding this weekend ] 
228,SEARCH,where does the water from the california aqueduct come from,NONE
229,GetWeather,will there be rain today in greece,rain today greece
230,PlayMusic,play contigo en la distancia,contigo en la distancia
231,PlayMusic,play the most popular song by espen lind,most popular song espen lind
232,PlayMusic,play the greatest soundtrack by jesse harms,greatest soundtrack jesse harms
233,GetWeather,what s the snowfall at noon in in,snowfall noon in
234,PlayMusic,play me leonid soybelman on vimeo,leonid soybelman vimeo
235,SEND_MESSAGE,Message Chris to let him know our meeting is at the library.,[SL:RECIPIENT Chris ] to let him know [SL:CONTENT_EXACT our meeting is at the library ] . 
236,SEND_MESSAGE,Please send it to Dave,[SL:RECIPIENT Dave ] 
237,SEARCH,what was tom hanks character name in castaway,NONE
238,SEARCH,how many episodes of touching evil are there,NONE
239,SEND_MESSAGE,Send a message saying “happy birthday” to lauren,[SL:CONTENT_EXACT happy birthday ] ” to [SL:RECIPIENT lauren ] 
240,SEND_MESSAGE,send a message to my son to let him know the gas station on 1st avenue has an atm machine,[SL:RECIPIENT 
241,GetWeather,how is the weather going to be on child health day in trinidad and tobago,child health day trinidad and tobago
242,SEND_MESSAGE,Ask Ryan if he wants to go to an FSU football game this fall.,[SL:RECIPIENT Ryan ] if [SL:CONTENT_EXACT he wants to go to an FSU football game this fall ] . 
243,GET_MESSAGE,Can I see texts in my baton twirling group,[SL:GROUP baton twirling ] group 
244,GET_MESSAGE,Can I run across texts in my billy twirling group,[SL:GROUP baton twirling ] group 
245,SEND_MESSAGE,Message Jadon and ask what would they like for their birthday.,[SL:RECIPIENT Jadon ] and ask [SL:CONTENT_EXACT what would they like for their birthday ] . 
246,SEARCH,derek and meredith get back together season 3,NONE
247,PlayMusic,i d like to hear a track by theo keating,track theo keating
248,GetWeather,what is the six o clock forecast for west selmont in montserrat,six o clock west selmont montserrat
249,PlayMusic,open itunes and play kenny cox most popular concerto,itunes kenny cox most popular concerto
250,PlayMusic,play a 2007 track from adam jones,2007 track adam jones
251,SEARCH,who sang i dreamed a dream in les miserables,NONE
252,GET_MESSAGE,Find the messages from Grandma.,[SL:SENDER 
253,GET_MESSAGE,Find the message from Grandma.,[SL:SENDER 
254,GetWeather,what will the weather be in montevallo on july ninth 2018,montevallo july ninth 2018
255,SEND_MESSAGE,send ian a message and ask him if he will put the laundry in the dryer,[SL:RECIPIENT ian ] a message and ask him if [SL:CONTENT_EXACT he will put the laundry in the dryer ] 
256,SEND_MESSAGE,tell her I can meet her at city walk at 3 pm today,[SL:RECIPIENT her ] [SL:CONTENT_EXACT I can meet her at city walk at 3 pm today ] 
257,SEND_MESSAGE,Send a message to Paul telling him I'm in the car now and will be there soon.,[SL:RECIPIENT Paul ] telling him [SL:CONTENT_EXACT I'm in the car now and will be there soon ] . 
258,PlayMusic,play ecstatic,ecstatic
259,GET_MESSAGE,Show who sent this text,
260,GET_MESSAGE,Show who send this textual matter,
261,GetWeather,what is the me forecast for joanna,me joanna
262,GET_MESSAGE,Let me see the texts from Roy,[SL:SENDER Roy ] 
263,GET_MESSAGE,Countenance me run across the texts from Roy,[SL:SENDER Roy ] 
264,GET_MESSAGE,Show me messages from Molly please.,[SL:SENDER Molly ] please . 
265,GET_MESSAGE,Usher maine messages from Mollie please.,[SL:SENDER Molly ] please . 
266,SEND_MESSAGE,send nora a message and let her know i will be late picking her up from dance,[SL:RECIPIENT nora ] a message and let her know [SL:CONTENT_EXACT i will be late picking her up from dance ] 
267,PlayMusic,play music on spotify,spotify
268,GetWeather,will it be hot on december 28 in ayr mi,hot december 28 ayr mi
269,SEND_MESSAGE,Message Oded asking if he is willing to come for a DJ night today,[SL:RECIPIENT Oded ] asking if [SL:CONTENT_EXACT he is willing to come for a DJ night today ] 
270,PlayMusic,play are & be,are & be
271,SEARCH,when did it become law to stand for the national anthem,NONE
272,SEND_MESSAGE,Message Ralph and ask if he has my cell phone.,[SL:RECIPIENT Ralph ] and ask if [SL:CONTENT_EXACT he has my cell phone ] . 
273,SEND_MESSAGE,Message Eric asking him what time the banquet ends this weekend.,[SL:RECIPIENT Eric ] asking him [SL:CONTENT_EXACT what time the banquet ends this weekend ] . 
274,PlayMusic,play a ballad by giorgio moroder,ballad giorgio moroder
275,GET_MESSAGE,Read the first message,[SL:ORDINAL first ] message 
276,GET_MESSAGE,Translate the first subject matter,[SL:ORDINAL first ] message 
277,GET_MESSAGE,Read message.,
278,GET_MESSAGE,Read substance.,
279,PlayMusic,play going down to the river on pandora,going down to the river pandora
280,PlayMusic,play donna summer,donna summer
281,SEND_MESSAGE,Please send my husband a video message,[SL:RECIPIENT 
282,PlayMusic,i wish to hear the playlist estado de ánimo on last fm,estado de ánimo last fm
283,PlayMusic,play a sound track by tom thacker,sound track tom thacker
284,GetWeather,is it warm here now,warm here now
285,SEARCH,what is the killer's name in halloween,NONE
286,GET_MESSAGE,Give me all messages from WhatsApp.,[SL:AMOUNT all ] messages from [SL:RESOURCE WhatsApp ] . 
287,GET_MESSAGE,Consecrate maine all messages from WhatsApp.,[SL:AMOUNT all ] messages from [SL:RESOURCE WhatsApp ] . 
288,GET_MESSAGE,view my chat requests please,
289,GET_MESSAGE,scene my schmoose requests please,
290,SEARCH,what weapon is typically used by a samurai 1. katana 2. dagger,NONE
291,SEARCH,how many soldiers stormed the beaches of normandy,NONE
292,PlayMusic,play soundtrack by armand van helden,soundtrack armand van helden
293,GET_MESSAGE,can you show me my chats,
294,GET_MESSAGE,tail you demonstrate me my chats,
295,SEND_MESSAGE,Send a message to my sisters to let them know that we should meet in New York next Saturday,[SL:RECIPIENT 
296,SEARCH,who won the american league east in 2017,NONE
297,GetWeather,how temperate is it in lopeno thailand,temperate lopeno thailand
298,PlayMusic,play a top symphony from the fourties,top symphony fourties
299,GET_MESSAGE,Has dad sent any messages today?,[SL:SENDER 
300,GET_MESSAGE,Has pappa sent any message today?,[SL:SENDER 
301,SEND_MESSAGE,Ask the groomer when she's available for a nail trim for the dog,[SL:RECIPIENT the groomer ] [SL:CONTENT_EXACT when she 's available for a nail trim for the dog ] 
302,GetWeather,will it get chillier in furano-ashibetsu prefectural natural park,chillier furano-ashibetsu prefectural natural park
303,PlayMusic,can you play maggie mae on netflix,maggie mae netflix
304,SEARCH,what act did parliament pass after the boston tea party,NONE
305,SEND_MESSAGE,Message Harold and tell him to meet me at the Grand Hall at 9:00 p.m.,[SL:RECIPIENT Harold ] and tell him to [SL:CONTENT_EXACT meet me at the Grand Hall at 9 : 00 p.m ] . 
306,GetWeather,what is the forecast for here one second from now,here one second from now
307,SEND_MESSAGE,Ask Joe if he is going to meet me at the grocery store by me tonight.,[SL:RECIPIENT Joe ] [SL:CONTENT_EXACT if he is going to meet me at the grocery store by me tonight ] . 
308,SEARCH,the cool style piano player best known for his composition take 5 is,NONE
309,SEARCH,who does the voice of bubby on flapjack,NONE
310,SEARCH,what were the 3 seasons in ancient egypt,NONE
311,GET_MESSAGE,i want to see my chat requests please,
312,GET_MESSAGE,i want to get wind my chat call for please,
313,PlayMusic,play an album from 1987,album 1987
314,SEND_MESSAGE,text austin no,[SL:RECIPIENT austin ] [SL:CONTENT_EXACT no ] 
315,SEND_MESSAGE,Ask Melissa for a map and her address because I'm lost.,[SL:RECIPIENT Melissa ] for [SL:CONTENT_EXACT a map and her address because I'm lost ] . 
316,SEND_MESSAGE,Send a message to my brother John that we will be in Vegas on the 9th.,[SL:RECIPIENT 
317,SEND_MESSAGE,Message mama saying I'll be 15 minutes late,[SL:RECIPIENT 
318,SEARCH,who plays ser davos in game of thrones,NONE
319,SEND_MESSAGE,leave a message with daryl and say 20 dollars should cover it,[SL:RECIPIENT daryl ] and say [SL:CONTENT_EXACT 20 dollars should cover it ] 
320,SEND_MESSAGE,Message Tyler he is going to cook burgers and brats,[SL:RECIPIENT Tyler ] [SL:CONTENT_EXACT he is going to cook burgers and brats ] 
321,GetWeather,what is the forecast for hot temps in kuwait in augusta springs,hot kuwait augusta springs
322,SEND_MESSAGE,Message Crystal that I will not be in attendance for the Board Meeting on June 28.,[SL:RECIPIENT Crystal ] that [SL:CONTENT_EXACT I will not be in attendance for the Board Meeting on June 28 ] . 
323,SEARCH,loch ness tv series where is it filmed,NONE
