,query,ExclamationMark,QuestionMark,countWords,countChars,how,when,where,what,whose,which,why,who,count am-is-are,count stop words,PERSON,ORG,GPE,DATE,count music common,count weather common,VRB,ADJ,NON,output
21,what is the pw forecast for jul 9 in robert,0,0,10,43,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,1,1,0,4,GetWeather
22,play slow rock music on vimeo,0,0,6,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,4,PlayMusic
23,what will the weather be ten minutes from now in canada,0,0,11,55,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,1,2,1,3,GetWeather
24,play the track siberian khatru on zvooq,0,0,7,39,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,1,3,PlayMusic
25,play music from the seventies for me,0,0,7,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,3,PlayMusic
26,will there be sun in the manassas national battlefield park,0,0,10,59,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,2,2,3,2,GetWeather
27,please play music from itunes,0,0,5,29,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,0,2,PlayMusic
28,play some classical music on spotify,0,0,6,36,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,1,1,2,PlayMusic
29,what is the weather supposed to be like in new jersey three months from now,0,0,15,75,0,0,0,1,0,0,0,0,1,8,0,0,1,1,0,2,3,2,3,GetWeather
30,i want to hear some theme music by edsel dope,0,0,10,45,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,2,0,5,PlayMusic
31,play some new age music,0,0,5,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,2,PlayMusic
32,what s the weather forecast for arizona city,0,0,8,44,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,1,3,GetWeather
33,what aree the weather conditions not far from poneto,0,0,9,52,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,1,1,2,3,GetWeather
34,play music from 2015,0,0,4,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,PlayMusic
35,play some dj qbert,0,0,4,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,PlayMusic
36,can you use pandora to play a soundtrack from 1999 by david sitek,0,0,13,65,0,0,0,0,0,0,0,0,0,6,1,0,0,1,2,0,2,0,4,PlayMusic
37,will it be foggy now close to jolley,0,0,8,36,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,2,1,GetWeather
38,will there be a fog here this week,0,0,8,34,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,2,2,GetWeather
39,tell me the weather forecast 1 hour from now in big thicket national preserve,0,0,14,77,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,2,3,4,GetWeather
40,play some salsa music,0,0,4,21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,2,PlayMusic
41,what is the weather forecast close to puerto rico,0,0,9,49,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,2,1,3,GetWeather
42,weather for marshall,0,0,3,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,GetWeather
43,play a chaos of desire from dan snaith,0,0,8,38,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,4,PlayMusic
44,will there be a blizzard at a 4 am in sky valley,0,0,12,48,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,2,1,3,GetWeather
45,play the playlist feel good dinner,0,0,6,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,2,PlayMusic
46,play ray davies on iheart by only hit it again,0,0,10,46,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,2,4,PlayMusic
47,what is the forecast in mer rouge and palestine,0,0,9,47,0,0,0,1,0,0,0,0,1,5,0,0,2,0,0,1,1,1,3,GetWeather
48,what is the forecast for temperate weather in bellechester,0,0,9,58,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,2,1,0,4,GetWeather
49,was the weather colder last august at stunt ranch santa monica mountains reserve,0,0,13,80,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,2,3,1,7,GetWeather
50,play the album axum,0,0,4,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,2,PlayMusic
51,is it going to be cold once i get within walking distance of my home in new caledonia,0,0,18,85,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,3,5,4,3,GetWeather
52,play the energic itunes,0,0,4,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,PlayMusic
53,play iheart,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,PlayMusic
54,play some seventies track from top rie tomosaka,0,0,8,47,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,2,1,3,PlayMusic
55,what s the weather going to be like at 10:21:20 close by id,0,0,13,59,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,3,3,1,2,GetWeather
56,give me some hank shermann from 1975 on lastfm,0,0,9,46,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,0,2,0,2,PlayMusic
57,play music by francis healy,0,0,5,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4,PlayMusic
58,play pura vida,0,0,3,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,PlayMusic
59,whats the weather in fernando new jersey,0,0,7,40,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,2,3,GetWeather
60,play the tyranny of distance by willy mason,0,0,8,43,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,1,3,PlayMusic
61,play the track siberian khatru on zvooq,0,0,7,39,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,1,3,PlayMusic
62,play chant music by pappu venugopala rao on slacker,0,0,9,51,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,7,PlayMusic
63,what is the forecast for january twenty-eighth in kentmore park,0,0,10,63,0,0,0,1,0,0,0,0,1,5,0,1,0,1,0,2,1,1,4,GetWeather
64,play music by christian bautista,0,0,5,32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,3,PlayMusic
65,how cold is it going to be in san marcial ak in one second,0,0,14,58,1,0,0,0,0,0,0,0,1,7,0,0,1,0,0,3,3,3,2,GetWeather
66,how cold is it around the current location now,0,0,9,46,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,1,3,1,GetWeather
67,tell me if it ll be chilly 1 second from now here,0,0,12,49,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,3,4,0,GetWeather
68,will it be hotter netherlands antilles flats on april the 27th,0,0,11,62,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,2,1,2,GetWeather
69,play soundtrack by armand van helden,0,0,6,36,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5,PlayMusic
70,how s the weather in mowrystown,0,0,6,31,1,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,1,0,2,GetWeather
71,is it freezing at jasmund national park,0,0,7,39,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,2,2,1,GetWeather
72,what will the weather be in mattawan saint barthélemy,0,0,9,53,0,0,0,1,0,0,0,0,0,5,0,0,2,0,0,1,1,1,3,GetWeather
73,what s the weather in close by my current position,0,0,10,50,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,2,1,1,3,GetWeather
74,i need the weather at eleven am in argentina,0,0,9,44,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,1,2,1,3,GetWeather
75,will it be even hotter 2 years from now in el jebel niger,0,0,13,57,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,1,1,3,4,GetWeather
76,what s the weather forecast near to fern creek this winter,0,0,11,58,0,0,0,1,0,0,0,0,1,5,0,0,1,1,0,2,2,0,4,GetWeather
77,show cloud forcast in 1 hour in ia,0,0,8,34,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,4,GetWeather
78,play a melody by avery storm,0,0,6,28,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,3,PlayMusic
79,will it be freezing 5 seconds from now in patmos,0,0,10,48,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,2,1,2,GetWeather
80,how much hotter will it be here tomorrow,0,0,8,40,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,1,2,2,GetWeather
81,what s the weather in pennsylvania,0,0,6,34,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,1,0,2,GetWeather
82,i want to hear some of david gilmour s music from 1973,0,0,12,54,0,0,0,0,0,0,0,0,1,6,1,0,0,1,3,0,2,1,4,PlayMusic
83,will it be windy at 4 pm in ny,0,0,9,30,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,2,0,2,GetWeather
84,what is the forecast for the current place for sun on january sixth 2028 within walking distance,0,0,17,96,0,0,0,1,0,0,0,0,1,7,0,0,0,1,0,2,2,1,6,GetWeather
85,what is the weather forecast in brunei,0,0,7,38,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,0,3,GetWeather
86,what will the weather be in romania at 4,0,0,9,40,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,1,1,0,2,GetWeather
87,is it going to hail in niger,0,0,7,28,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,3,0,1,GetWeather
88,what is the forecast for here,0,0,6,29,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,1,1,1,1,GetWeather
89,play music on netflix,0,0,4,21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,3,PlayMusic
90,i want food in zaleski,0,0,5,22,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,3,GetWeather
91,want to know the hot weather situation in netherlands december 4,0,0,11,64,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,2,2,1,4,GetWeather
92,what is the weather forecast for djibouti,0,0,7,41,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,0,3,GetWeather
93,play the most popular ep by marcel khalife on netflix,0,0,10,53,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,3,3,PlayMusic
94,play the playlist spring,0,0,4,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,PlayMusic
95,what is the weather forecast in country club heights,0,0,9,52,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,2,1,0,5,GetWeather
96,warren island state park distant weather forecast for 11 am,0,0,10,59,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,4,2,0,6,GetWeather
97,forecast for morse shores kansas,0,0,5,32,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,2,GetWeather
98,will it be freezing close to my current location,0,0,9,48,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,2,1,GetWeather
99,play the playlist spring,0,0,4,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,PlayMusic
100,what s the weather forecast for tn on december seventh 2026,0,0,11,59,0,0,0,1,0,0,0,0,1,5,0,0,0,1,0,2,1,1,4,GetWeather
101,play me a song by hank thompson from moa anbessa,0,0,10,48,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,1,0,5,PlayMusic
102,is it going to be chilly today in abo wi,0,0,10,40,0,0,0,0,0,0,0,0,1,5,0,1,0,1,0,2,3,1,3,GetWeather
103,play me a song from voices & images,0,0,8,35,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,1,0,3,PlayMusic
104,what is the forecast here for september 16,0,0,8,42,0,0,0,1,0,0,0,0,1,5,0,0,0,1,0,1,1,1,2,GetWeather
105,what s the weather in organ pipe cactus national monument,0,0,10,57,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,2,2,2,3,GetWeather
106,i would like to hear music from 1993,0,0,8,36,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,2,0,2,PlayMusic
107,what is the weather like within walking distance of the bothwell lodge state historic site,0,0,15,90,0,0,0,1,0,0,0,0,1,5,1,0,0,0,0,3,2,1,6,GetWeather
108,is it cloudy in the same area of lynn shore reservation,0,0,11,55,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,1,1,1,5,GetWeather
109,play the greatest 1972 album by wes dakus,0,0,8,41,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,1,1,3,PlayMusic
110,play lil hardin armstrong from itunes,0,0,6,37,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,1,2,PlayMusic
111,what s the weather forecast for the dominican republic,0,0,9,54,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,2,1,1,3,GetWeather
112,play miyavi s music from seventies on google music,0,0,9,50,0,0,0,0,0,0,0,0,1,3,0,1,0,0,4,0,0,1,6,PlayMusic
113,will the sun come out here,0,0,6,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,GetWeather
114,play songs of heaven by ami koshimizu,0,0,7,37,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,4,PlayMusic
115,play murder the mountains by mana on netflix,0,0,8,44,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,5,PlayMusic
116,what s the weather forecast for tomorrow around sankertown,0,0,9,58,0,0,0,1,0,0,0,0,1,4,0,1,0,1,0,2,1,1,3,GetWeather
117,play a concerto from sam sparro,0,0,6,31,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,3,PlayMusic
118,play a movement from the nineties,0,0,6,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,2,PlayMusic
119,play some stephen jones on youtube,0,0,6,34,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,1,0,3,PlayMusic
120,what does it feel like in east cove national wildlife refuge,0,0,11,60,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,2,3,2,GetWeather
121,play some rockwell from around 1996,0,0,6,35,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,1,PlayMusic
122,will there be a storm in palm city wv,0,0,9,37,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,3,GetWeather
123,play some dance music,0,0,4,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,PlayMusic
124,what is the american samoa forecast for hot weather,0,0,9,51,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,3,1,2,3,GetWeather
125,play some sister rosetta tharpe songs from the eighties,0,0,9,55,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,2,1,3,PlayMusic
126,what is the weather forecast in langdon,0,0,7,39,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,0,3,GetWeather
127,what s the weather forecast for niue at two am,0,0,10,46,0,0,0,1,0,0,0,0,2,6,1,0,0,0,0,2,2,0,3,GetWeather
128,what will the weather be like in louisiana will it be colder then now,0,0,14,69,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,3,3,2,2,GetWeather
129,play hardcore music,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,PlayMusic
130,play lukasz gottwald album on zvooq,0,0,6,35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,PlayMusic
131,what does it feel like in east cove national wildlife refuge,0,0,11,60,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,2,3,2,GetWeather
132,what is the weather like in wallis and futuna,0,0,9,45,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,2,1,0,3,GetWeather
133,what will the weather be in bernie id,0,0,8,37,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,1,1,2,GetWeather
134,what s the weather in germantown hills,0,0,7,38,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,1,1,2,GetWeather
135,weather for my current location tomorrow,0,0,6,40,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,1,3,GetWeather
136,can you give me the weather for here,0,0,8,36,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,1,1,GetWeather
137,play me some seventies music with a good melody,0,0,9,47,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,1,3,PlayMusic
138,will it be warm in hematite,0,0,6,27,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,2,0,1,GetWeather
139,what is the weather forecast one minute from now in macao,0,0,11,57,0,0,0,1,0,0,0,0,1,6,0,0,1,0,0,3,2,1,3,GetWeather
140,what s the weather forecast for tomorrow around sankertown,0,0,9,58,0,0,0,1,0,0,0,0,1,4,0,1,0,1,0,2,1,1,3,GetWeather
141,play me a song from 1972 by sweet emma barrett,0,0,10,46,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,1,1,3,PlayMusic
142,i want to listen to nineties chant songs,0,0,8,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,2,1,3,PlayMusic
143,play me some grunge music,0,0,5,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,2,PlayMusic
144,is there a blizzard in tennessee colony ks,0,0,8,42,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,4,GetWeather
145,play an eighties track,0,0,4,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,PlayMusic
146,play a 1999 track by pete seeger on youtube,0,0,9,43,0,0,0,0,0,0,0,0,0,3,1,0,1,1,3,0,1,1,3,PlayMusic
147,please play jim martin on vimeo,0,0,6,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,3,PlayMusic
148,what will the weather be like may the 10th in rocky boy wi,0,0,13,58,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,2,1,1,3,GetWeather
149,i want to hear music on itunes,0,0,7,30,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,2,0,3,PlayMusic
150,can i hear a song by david hodges,0,0,8,33,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,2,0,3,PlayMusic
151,book a restaurant 1 hour from now in dorchester shores reservation,0,0,11,66,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,6,GetWeather
152,play a chant by mike jones,0,0,6,26,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,3,PlayMusic
153,what will the weather be like in 15 and a half weeks in china,0,0,14,61,0,0,0,1,0,0,0,0,0,8,0,0,1,1,0,3,1,1,3,GetWeather
154,how is the weather in oh,0,0,6,24,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,2,GetWeather
155,will it be overcast in my current location at twelve pm,0,0,11,55,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,1,3,GetWeather
156,will it be warm in chicamocha national park,0,0,8,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,2,2,1,GetWeather
157,i want to hear some the roches,0,0,7,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,2,PlayMusic
158,will it get hotter in the city of ashford,0,0,9,41,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,2,1,1,2,GetWeather
159,play the newest by exuma,0,0,5,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1,PlayMusic
160,play vic ruggiero music from 2007,0,0,6,33,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,4,PlayMusic
161,can you play some eighties music,0,0,6,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,2,PlayMusic
162,i want to hear a joel hastings melody,0,0,8,37,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,2,0,4,PlayMusic
163,what will the weather be like in india at 02:55:25 am,0,0,11,53,0,0,0,1,0,0,0,0,1,7,0,0,1,0,0,2,2,0,2,GetWeather
164,play a 1998 sound track from sam the kid on last fm,0,0,12,51,0,0,0,0,0,0,0,0,0,4,1,0,0,1,3,0,2,1,4,PlayMusic
165,open pandora and play udhreko choli from chowdiah,0,0,8,49,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,2,3,PlayMusic
166,play lily rosemary and the jack of hearts by chris goss,0,0,11,55,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,1,2,4,PlayMusic
167,will it rain here,0,0,4,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,GetWeather
168,play new music from liang wern fook,0,0,7,35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,3,2,PlayMusic
169,check the forecast for natchaug state forest,0,0,7,44,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,1,3,GetWeather
170,play moustapha amar make it rain,0,0,6,32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,2,PlayMusic
171,what s the weather going to be like at my current spot at 7 am,0,0,15,62,0,0,0,1,0,0,0,0,2,9,0,0,0,0,0,4,4,1,2,GetWeather
172,what s the weather going to be like around lewis and clark trail sixteen hours from now,0,0,17,87,0,0,0,1,0,0,0,0,1,8,2,0,0,0,0,3,3,1,6,GetWeather
173,play a ballad by owen pallett from the seventies on slacker,0,0,11,59,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,1,1,4,PlayMusic
174,play music from lastfm and deezer,0,0,6,33,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,4,PlayMusic
175,what s the weather forecast for my current position,0,0,9,51,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,3,1,1,3,GetWeather
176,play me something from the thirties by candi staton on vimeo,0,0,11,60,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,1,1,4,PlayMusic
177,what is the weather like in the city of frewen in the country of venezuela,0,0,15,74,0,0,0,1,0,0,0,0,1,9,0,0,2,0,0,2,1,0,5,GetWeather
178,play the newest sound track from the thirties,0,0,8,45,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,1,2,2,PlayMusic
179,play the album everybody happy by lee aaron,0,0,8,43,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,1,4,PlayMusic
180,i want the weather for saint martin next year,0,0,9,45,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,2,1,0,5,GetWeather
181,can you play the greatest songs by mauro picotto,0,0,9,48,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,1,1,3,PlayMusic
182,play me a song from luxury liner,0,0,7,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,3,PlayMusic
183,is it supposed to hail in ny,0,0,7,28,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,3,0,1,GetWeather
184,play some don ho on netflix,0,0,6,27,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2,0,1,0,3,PlayMusic
185,play a popular melody by lindsay lohan on youtube,0,0,9,49,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2,0,1,2,3,PlayMusic
186,will it be colder in åland,0,0,6,26,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,2,0,1,GetWeather
187,play the top of emil de cou,0,0,7,27,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,2,PlayMusic
188,play lighter by pamela jintana racine,0,0,6,37,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,4,PlayMusic
189,what s the weather like nearby in rhode island,0,0,9,46,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,1,3,GetWeather
190,play music which has humour on youtube,0,0,7,38,0,0,0,0,0,1,0,0,0,3,0,0,1,0,3,0,2,0,3,PlayMusic
191,what is the expected weather forecast for beckley,0,0,8,49,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,2,1,1,3,GetWeather
192,is there a depression in delta junction,0,0,7,39,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,2,GetWeather
193,what s the weather in singapore,0,0,6,31,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,1,0,2,GetWeather
194,what will the weather be in the current place 1 minute from now,0,0,13,63,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,3,1,2,3,GetWeather
195,what s the weather far away in estonia,0,0,8,38,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,1,2,2,GetWeather
196,play a melody by hagigat rzayeva,0,0,6,32,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,3,PlayMusic
197,what is the weather forecast for shasha forest reserve in 43 weeks,0,0,12,66,0,0,0,1,0,0,0,0,1,5,0,1,0,1,0,3,1,2,4,GetWeather
198,play spotify,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,PlayMusic
