,Intent,Query,Param1,Param2
49,GetWeather,was the weather colder last august at stunt ranch santa monica mountains reserve,O O O O B-condition_temperature B-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-condition_temperature(colder), B-timeRange(last), I-timeRange(august), B-geographic_poi(stunt), I-geographic_poi(ranch), I-geographic_poi(santa), I-geographic_poi(monica), I-geographic_poi(mountains), I-geographic_poi(reserve),"
50,PlayMusic,play the album axum,O O B-music_item B-album,"B-music_item(album), B-album(axum),"
51,GetWeather,is it going to be cold once i get within walking distance of my home in new caledonia,O O O O O B-condition_temperature O O O B-spatial_relation I-spatial_relation I-spatial_relation O O O O B-country I-country,"B-condition_temperature(cold), B-spatial_relation(within), I-spatial_relation(walking), I-spatial_relation(distance), B-country(new), I-country(caledonia),"
52,PlayMusic,play the energic itunes,O O O B-playlist B-service,"B-playlist(energic), B-service(itunes),"
53,PlayMusic,play iheart,O B-service,"B-service(iheart),"
54,PlayMusic,play some seventies track from top rie tomosaka,O O O B-year B-music_item O B-sort B-artist I-artist,"B-year(seventies), B-music_item(track), B-sort(top), B-artist(rie), I-artist(tomosaka),"
55,GetWeather,what s the weather going to be like at 10:21:20 close by id,O O O O O O O O O O B-timeRange B-spatial_relation I-spatial_relation B-state,"B-timeRange(10:21:20), B-spatial_relation(close), I-spatial_relation(by), B-state(id),"
56,PlayMusic,give me some hank shermann from 1975 on lastfm,O O O B-artist I-artist O B-year O B-service,"B-artist(hank), I-artist(shermann), B-year(1975), B-service(lastfm),"
57,PlayMusic,play music by francis healy,O O O B-artist I-artist,"B-artist(francis), I-artist(healy),"
58,PlayMusic,play pura vida,O B-playlist I-playlist,"B-playlist(pura), I-playlist(vida),"
59,GetWeather,whats the weather in fernando new jersey,O O O O B-city B-state I-state,"B-city(fernando), B-state(new), I-state(jersey),"
60,PlayMusic,play the tyranny of distance by willy mason,O B-album I-album I-album I-album O B-artist I-artist,"B-album(the), I-album(tyranny), I-album(of), I-album(distance), B-artist(willy), I-artist(mason),"
61,PlayMusic,play the track siberian khatru on zvooq,O O B-music_item B-track I-track O B-service,"B-music_item(track), B-track(siberian), I-track(khatru), B-service(zvooq),"
62,PlayMusic,play chant music by pappu venugopala rao on slacker,O B-music_item O O B-artist I-artist I-artist O B-service,"B-music_item(chant), B-artist(pappu), I-artist(venugopala), I-artist(rao), B-service(slacker),"
63,GetWeather,what is the forecast for january twenty-eighth in kentmore park,O O O O O B-timeRange I-timeRange O B-city I-city,"B-timeRange(january), I-timeRange(twenty-eighth), B-city(kentmore), I-city(park),"
64,PlayMusic,play music by christian bautista,O O O O B-artist I-artist,"B-artist(christian), I-artist(bautista),"
65,GetWeather,how cold is it going to be in san marcial ak in one second,O O B-condition_temperature O O O O O O B-city I-city B-state B-timeRange I-timeRange I-timeRange,"B-condition_temperature(cold), B-city(san), I-city(marcial), B-state(ak), B-timeRange(in), I-timeRange(one), I-timeRange(second),"
66,GetWeather,how cold is it around the current location now,O B-condition_temperature O O B-spatial_relation O B-current_location I-current_location B-timeRange,"B-condition_temperature(cold), B-spatial_relation(around), B-current_location(current), I-current_location(location), B-timeRange(now),"
67,GetWeather,tell me if it ll be chilly 1 second from now here,O O O O O O B-condition_temperature B-timeRange I-timeRange I-timeRange I-timeRange B-current_location,"B-condition_temperature(chilly), B-timeRange(1), I-timeRange(second), I-timeRange(from), I-timeRange(now), B-current_location(here),"
68,GetWeather,will it be hotter netherlands antilles flats on april the 27th,O O O O B-condition_temperature B-country I-country B-city O B-timeRange I-timeRange I-timeRange,"B-condition_temperature(hotter), B-country(netherlands), I-country(antilles), B-city(flats), B-timeRange(april), I-timeRange(the), I-timeRange(27th),"
69,PlayMusic,play soundtrack by armand van helden,O B-music_item O B-artist I-artist I-artist,"B-music_item(soundtrack), B-artist(armand), I-artist(van), I-artist(helden),"
70,GetWeather,how s the weather in mowrystown,O O O O O B-city,"B-city(mowrystown),"
71,GetWeather,is it freezing at jasmund national park,O O B-condition_temperature O B-geographic_poi I-geographic_poi I-geographic_poi,"B-condition_temperature(freezing), B-geographic_poi(jasmund), I-geographic_poi(national), I-geographic_poi(park),"
72,GetWeather,what will the weather be in mattawan saint barthélemy,O O O O O O B-city B-country I-country,"B-city(mattawan), B-country(saint), I-country(barthélemy),"
73,GetWeather,what s the weather in close by my current position,O O O O O B-spatial_relation I-spatial_relation O B-current_location I-current_location,"B-spatial_relation(close), I-spatial_relation(by), B-current_location(current), I-current_location(position),"
74,GetWeather,i need the weather at eleven am in argentina,O O O O O O B-timeRange I-timeRange O B-country,"B-timeRange(eleven), I-timeRange(am), B-country(argentina),"
75,GetWeather,will it be even hotter 2 years from now in el jebel niger,O O O O B-condition_temperature B-timeRange I-timeRange I-timeRange I-timeRange O B-city I-city B-country,"B-condition_temperature(hotter), B-timeRange(2), I-timeRange(years), I-timeRange(from), I-timeRange(now), B-city(el), I-city(jebel), B-country(niger),"
76,GetWeather,what s the weather forecast near to fern creek this winter,O O O O O O B-spatial_relation O B-city I-city B-timeRange I-timeRange,"B-spatial_relation(near), B-city(fern), I-city(creek), B-timeRange(this), I-timeRange(winter),"
77,GetWeather,show cloud forcast in 1 hour in ia,O O B-condition_description O B-timeRange I-timeRange I-timeRange O B-state,"B-condition_description(cloud), B-timeRange(in), I-timeRange(1), I-timeRange(hour), B-state(ia),"
78,PlayMusic,play a melody by avery storm,O O B-music_item O B-artist I-artist,"B-music_item(melody), B-artist(avery), I-artist(storm),"
79,GetWeather,will it be freezing 5 seconds from now in patmos,O O O B-condition_temperature B-timeRange I-timeRange I-timeRange I-timeRange O B-city,"B-condition_temperature(freezing), B-timeRange(5), I-timeRange(seconds), I-timeRange(from), I-timeRange(now), B-city(patmos),"
80,GetWeather,how much hotter will it be here tomorrow,O O B-condition_temperature O O O B-current_location B-timeRange,"B-condition_temperature(hotter), B-current_location(here), B-timeRange(tomorrow),"
81,GetWeather,what s the weather in pennsylvania,O O O O O B-state,"B-state(pennsylvania),"
82,PlayMusic,i want to hear some of david gilmour s music from 1973,O O O O O O O B-artist I-artist O O O B-year,"B-artist(david), I-artist(gilmour), B-year(1973),"
83,GetWeather,will it be windy at 4 pm in ny,O O O B-condition_description O B-timeRange I-timeRange O B-state,"B-condition_description(windy), B-timeRange(4), I-timeRange(pm), B-state(ny),"
84,GetWeather,what is the forecast for the current place for sun on january sixth 2028 within walking distance,O O O O O O O B-current_location I-current_location O B-condition_description O B-timeRange I-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation,"B-current_location(current), I-current_location(place), B-condition_description(sun), B-timeRange(january), I-timeRange(sixth), I-timeRange(2028), B-spatial_relation(within), I-spatial_relation(walking), I-spatial_relation(distance),"
85,GetWeather,what is the weather forecast in brunei,O O O O O O O B-country,"B-country(brunei),"
86,GetWeather,what will the weather be in romania at 4,O O O O O O B-country O B-timeRange,"B-country(romania), B-timeRange(4),"
87,GetWeather,is it going to hail in niger,O O O O O B-condition_description O B-country,"B-condition_description(hail), B-country(niger),"
88,GetWeather,what is the forecast for here,O O O O O B-current_location,"B-current_location(here),"
89,PlayMusic,play music on netflix,O O O O B-service,"B-service(netflix),"
90,GetWeather,i want food in zaleski,O O O O B-city,"B-city(zaleski),"
91,GetWeather,want to know the hot weather situation in netherlands december 4,O O O O O B-condition_temperature O O O B-country B-timeRange I-timeRange,"B-condition_temperature(hot), B-country(netherlands), B-timeRange(december), I-timeRange(4),"
92,GetWeather,what is the weather forecast for djibouti,O O O O O O B-country,"B-country(djibouti),"
93,PlayMusic,play the most popular ep by marcel khalife on netflix,O O B-sort I-sort B-music_item O B-artist I-artist O B-service,"B-sort(most), I-sort(popular), B-music_item(ep), B-artist(marcel), I-artist(khalife), B-service(netflix),"
94,PlayMusic,play the playlist spring,O O O O B-playlist,"B-playlist(spring),"
95,GetWeather,what is the weather forecast in country club heights,O O O O O O B-city I-city I-city,"B-city(country), I-city(club), I-city(heights),"
96,GetWeather,warren island state park distant weather forecast for 11 am,O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi B-spatial_relation O O O B-timeRange I-timeRange,"B-geographic_poi(warren), I-geographic_poi(island), I-geographic_poi(state), I-geographic_poi(park), B-spatial_relation(distant), B-timeRange(11), I-timeRange(am),"
97,GetWeather,forecast for morse shores kansas,O O B-city I-city B-state,"B-city(morse), I-city(shores), B-state(kansas),"
98,GetWeather,will it be freezing close to my current location,O O O B-condition_temperature B-spatial_relation O O B-current_location I-current_location,"B-condition_temperature(freezing), B-spatial_relation(close), B-current_location(current), I-current_location(location),"
99,PlayMusic,play the playlist spring,O O O B-playlist,"B-playlist(spring),"
100,GetWeather,what s the weather forecast for tn on december seventh 2026,O O O O O O B-state O B-timeRange I-timeRange I-timeRange,"B-state(tn), B-timeRange(december), I-timeRange(seventh), I-timeRange(2026),"
101,PlayMusic,play me a song by hank thompson from moa anbessa,O O O B-music_item O B-artist I-artist O B-album I-album,"B-music_item(song), B-artist(hank), I-artist(thompson), B-album(moa), I-album(anbessa),"
102,GetWeather,is it going to be chilly today in abo wi,O O O O O B-condition_temperature B-timeRange O B-city B-state,"B-condition_temperature(chilly), B-timeRange(today), B-city(abo), B-state(wi),"
103,PlayMusic,play me a song from voices & images,O O O O B-music_item O B-album I-album I-album,"B-music_item(song), B-album(voices), I-album(&), I-album(images),"
104,GetWeather,what is the forecast here for september 16,O O O O O B-current_location O B-timeRange I-timeRange,"B-current_location(here), B-timeRange(september), I-timeRange(16),"
105,GetWeather,what s the weather in organ pipe cactus national monument,O O O O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-geographic_poi(organ), I-geographic_poi(pipe), I-geographic_poi(cactus), I-geographic_poi(national), I-geographic_poi(monument),"
106,PlayMusic,i would like to hear music from 1993,O O O O O O O O B-year,"B-year(1993),"
107,GetWeather,what is the weather like within walking distance of the bothwell lodge state historic site,O O O O O B-spatial_relation I-spatial_relation I-spatial_relation O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-spatial_relation(within), I-spatial_relation(walking), I-spatial_relation(distance), B-geographic_poi(bothwell), I-geographic_poi(lodge), I-geographic_poi(state), I-geographic_poi(historic), I-geographic_poi(site),"
108,GetWeather,is it cloudy in the same area of lynn shore reservation,O O B-condition_description B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-geographic_poi I-geographic_poi I-geographic_poi,"B-condition_description(cloudy), B-spatial_relation(in), I-spatial_relation(the), I-spatial_relation(same), I-spatial_relation(area), B-geographic_poi(lynn), I-geographic_poi(shore), I-geographic_poi(reservation),"
109,PlayMusic,play the greatest 1972 album by wes dakus,O O B-sort B-year B-music_item O B-artist I-artist,"B-sort(greatest), B-year(1972), B-music_item(album), B-artist(wes), I-artist(dakus),"
110,PlayMusic,play lil hardin armstrong from itunes,O B-artist I-artist I-artist O B-service,"B-artist(lil), I-artist(hardin), I-artist(armstrong), B-service(itunes),"
111,GetWeather,what s the weather forecast for the dominican republic,O O O O O O O O B-country I-country,"B-country(dominican), I-country(republic),"
112,PlayMusic,play miyavi s music from seventies on google music,O B-artist O O O B-year O B-service I-service,"B-artist(miyavi), B-year(seventies), B-service(google), I-service(music),"
113,GetWeather,will the sun come out here,O O B-condition_description O O B-current_location,"B-condition_description(sun), B-current_location(here),"
114,PlayMusic,play songs of heaven by ami koshimizu,O B-album I-album I-album O B-artist I-artist,"B-album(songs), I-album(of), I-album(heaven), B-artist(ami), I-artist(koshimizu),"
115,PlayMusic,play murder the mountains by mana on netflix,O B-album I-album I-album O B-artist O B-service,"B-album(murder), I-album(the), I-album(mountains), B-artist(mana), B-service(netflix),"
116,GetWeather,what s the weather forecast for tomorrow around sankertown,O O O O O O B-timeRange B-spatial_relation B-city,"B-timeRange(tomorrow), B-spatial_relation(around), B-city(sankertown),"
117,PlayMusic,play a concerto from sam sparro,O O B-music_item O B-artist I-artist,"B-music_item(concerto), B-artist(sam), I-artist(sparro),"
118,PlayMusic,play a movement from the nineties,O O B-music_item O O B-year,"B-music_item(movement), B-year(nineties),"
119,PlayMusic,play some stephen jones on youtube,O O B-artist I-artist O B-service,"B-artist(stephen), I-artist(jones), B-service(youtube),"
120,GetWeather,what does it feel like in east cove national wildlife refuge,O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-geographic_poi(east), I-geographic_poi(cove), I-geographic_poi(national), I-geographic_poi(wildlife), I-geographic_poi(refuge),"
121,PlayMusic,play some rockwell from around 1996,O O B-artist O O B-year,"B-artist(rockwell), B-year(1996),"
122,GetWeather,will there be a storm in palm city wv,O O O O B-condition_description O B-city I-city B-state,"B-condition_description(storm), B-city(palm), I-city(city), B-state(wv),"
123,PlayMusic,play some dance music,O O B-genre O,"B-genre(dance),"
124,GetWeather,what is the american samoa forecast for hot weather,O O O O B-state I-state O O B-condition_temperature O,"B-state(american), I-state(samoa), B-condition_temperature(hot),"
125,PlayMusic,play some sister rosetta tharpe songs from the eighties,O O B-artist I-artist I-artist O O O B-year,"B-artist(sister), I-artist(rosetta), I-artist(tharpe), B-year(eighties),"
126,GetWeather,what is the weather forecast in langdon,O O O O O O B-city,"B-city(langdon),"
127,GetWeather,what s the weather forecast for niue at two am,O O O O O O B-country O B-timeRange I-timeRange,"B-country(niue), B-timeRange(two), I-timeRange(am),"
128,GetWeather,what will the weather be like in louisiana will it be colder then now,O O O O O O O O B-state O O O B-condition_temperature O B-timeRange,"B-state(louisiana), B-condition_temperature(colder), B-timeRange(now),"
129,PlayMusic,play hardcore music,O B-genre O,"B-genre(hardcore),"
130,PlayMusic,play lukasz gottwald album on zvooq,O B-artist I-artist B-music_item O B-service,"B-artist(lukasz), I-artist(gottwald), B-music_item(album), B-service(zvooq),"
131,GetWeather,what does it feel like in east cove national wildlife refuge,O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-geographic_poi(east), I-geographic_poi(cove), I-geographic_poi(national), I-geographic_poi(wildlife), I-geographic_poi(refuge),"
132,GetWeather,what is the weather like in wallis and futuna,O O O O O O B-country I-country I-country,"B-country(wallis), I-country(and), I-country(futuna),"
133,GetWeather,what will the weather be in bernie id,O O O O O O O B-city B-state,"B-city(bernie), B-state(id),"
134,GetWeather,what s the weather in germantown hills,O O O O O O B-city I-city,"B-city(germantown), I-city(hills),"
135,GetWeather,weather for my current location tomorrow,O O O B-current_location I-current_location B-timeRange,"B-current_location(current), I-current_location(location), B-timeRange(tomorrow),"
136,GetWeather,can you give me the weather for here,O O O O O O O B-current_location,"B-current_location(here),"
137,PlayMusic,play me some seventies music with a good melody,O O O B-year O O O B-sort B-music_item,"B-year(seventies), B-sort(good), B-music_item(melody),"
138,GetWeather,will it be warm in hematite,O O O B-condition_temperature O B-city,"B-condition_temperature(warm), B-city(hematite),"
139,GetWeather,what is the weather forecast one minute from now in macao,O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-country,"B-timeRange(one), I-timeRange(minute), I-timeRange(from), I-timeRange(now), B-country(macao),"
140,GetWeather,what s the weather forecast for tomorrow around sankertown,O O O O O O B-timeRange B-spatial_relation B-city,"B-timeRange(tomorrow), B-spatial_relation(around), B-city(sankertown),"
141,PlayMusic,play me a song from 1972 by sweet emma barrett,O O O B-music_item O B-year O B-artist I-artist I-artist,"B-music_item(song), B-year(1972), B-artist(sweet), I-artist(emma), I-artist(barrett),"
142,PlayMusic,i want to listen to nineties chant songs,O O O O O B-year B-music_item O,"B-year(nineties), B-music_item(chant),"
143,PlayMusic,play me some grunge music,O O O B-genre O,"B-genre(grunge),"
144,GetWeather,is there a blizzard in tennessee colony ks,O O O B-condition_description O B-city I-city B-state,"B-condition_description(blizzard), B-city(tennessee), I-city(colony), B-state(ks),"
145,PlayMusic,play an eighties track,O O O B-year B-music_item,"B-year(eighties), B-music_item(track),"
146,PlayMusic,play a 1999 track by pete seeger on youtube,O O B-year B-music_item O B-artist I-artist O B-service,"B-year(1999), B-music_item(track), B-artist(pete), I-artist(seeger), B-service(youtube),"
147,PlayMusic,please play jim martin on vimeo,O O B-artist I-artist O B-service,"B-artist(jim), I-artist(martin), B-service(vimeo),"
148,GetWeather,what will the weather be like may the 10th in rocky boy wi,O O O O O O B-timeRange I-timeRange I-timeRange O B-city I-city B-state,"B-timeRange(may), I-timeRange(the), I-timeRange(10th), B-city(rocky), I-city(boy), B-state(wi),"
149,PlayMusic,i want to hear music on itunes,O O O O O O B-service,"B-service(itunes),"
150,PlayMusic,can i hear a song by david hodges,O O O O B-music_item O B-artist I-artist,"B-music_item(song), B-artist(david), I-artist(hodges),"
151,GetWeather,book a restaurant 1 hour from now in dorchester shores reservation,O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(1), I-timeRange(hour), I-timeRange(from), I-timeRange(now), B-geographic_poi(dorchester), I-geographic_poi(shores), I-geographic_poi(reservation),"
152,PlayMusic,play a chant by mike jones,O O B-music_item O B-artist I-artist,"B-music_item(chant), B-artist(mike), I-artist(jones),"
153,GetWeather,what will the weather be like in 15 and a half weeks in china,O O O O O O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange O B-country,"B-timeRange(in), I-timeRange(15), I-timeRange(and), I-timeRange(a), I-timeRange(half), I-timeRange(weeks), B-country(china),"
154,GetWeather,how is the weather in oh,O O O O O B-state,"B-state(oh),"
155,GetWeather,will it be overcast in my current location at twelve pm,O O O O B-condition_description O O B-current_location I-current_location O B-timeRange I-timeRange,"B-condition_description(overcast), B-current_location(current), I-current_location(location), B-timeRange(twelve), I-timeRange(pm),"
156,GetWeather,will it be warm in chicamocha national park,O O O B-condition_temperature O B-geographic_poi I-geographic_poi I-geographic_poi,"B-condition_temperature(warm), B-geographic_poi(chicamocha), I-geographic_poi(national), I-geographic_poi(park),"
157,PlayMusic,i want to hear some the roches,O O O O O B-album I-album,"B-album(the), I-album(roches),"
158,GetWeather,will it get hotter in the city of ashford,O O O B-condition_temperature O O O O B-city,"B-condition_temperature(hotter), B-city(ashford),"
159,PlayMusic,play the newest by exuma,O O B-sort O B-artist,"B-sort(newest), B-artist(exuma),"
160,PlayMusic,play vic ruggiero music from 2007,O B-artist I-artist O O B-year,"B-artist(vic), I-artist(ruggiero), B-year(2007),"
161,PlayMusic,can you play some eighties music,O O O O B-year O,"B-year(eighties),"
162,PlayMusic,i want to hear a joel hastings melody,O O O O O O B-artist I-artist B-music_item,"B-artist(joel), I-artist(hastings), B-music_item(melody),"
163,GetWeather,what will the weather be like in india at 02:55:25 am,O O O O O O O B-country O B-timeRange I-timeRange,"B-country(india), B-timeRange(02:55:25), I-timeRange(am),"
164,PlayMusic,play a 1998 sound track from sam the kid on last fm,O O O B-year B-music_item I-music_item O B-artist I-artist I-artist O B-service I-service,"B-year(1998), B-music_item(sound), I-music_item(track), B-artist(sam), I-artist(the), I-artist(kid), B-service(last), I-service(fm),"
165,PlayMusic,open pandora and play udhreko choli from chowdiah,O B-service O O B-track I-track O B-artist,"B-service(pandora), B-track(udhreko), I-track(choli), B-artist(chowdiah),"
166,PlayMusic,play lily rosemary and the jack of hearts by chris goss,O B-track I-track I-track I-track I-track I-track I-track O B-artist I-artist,"B-track(lily), I-track(rosemary), I-track(and), I-track(the), I-track(jack), I-track(of), I-track(hearts), B-artist(chris), I-artist(goss),"
167,GetWeather,will it rain here,O O B-condition_description B-current_location,"B-condition_description(rain), B-current_location(here),"
168,PlayMusic,play new music from liang wern fook,O B-sort O O B-artist I-artist I-artist,"B-sort(new), B-artist(liang), I-artist(wern), I-artist(fook),"
