,Intent,Query,Param1,Param2
16,GET_MESSAGE,did ryan message me yesterday,O SL:SENDER SL:RECIPIENTssage SL:RECIPIENT SL:DATE_TIME,SL:SENDER(ryan) SL:RECIPIENT(me) SL:DATE_TIME(yesterday)
17,GET_MESSAGE,Read my messages,O O O,
18,GET_MESSAGE,What did Joe say in all messages from him today?,O O SL:SENDER O O SL:AMOUNT O O O SL:DATE_TIME?,SL:SENDER(Joe) SL:AMOUNT(all) SL:DATE_TIME(today)
19,GET_MESSAGE,Read the messages from yesterday.,O O O O SL:DATE_TIME.,SL:DATE_TIME(yesterday)
20,GET_MESSAGE,Was that the only message I got from Kristi today?,O O O O O SL:RECIPIENT O O SL:SENDER SL:DATE_TIME?,SL:RECIPIENT(I) SL:SENDER(Kristi) SL:DATE_TIME(today)
21,GET_MESSAGE,Find any messages from Bill last week.,O O O O SL:SENDER SL:DATE_TIME.,SL:SENDER(Bill) SL:DATE_TIME(last week)
22,GET_MESSAGE,read me the message,O O O O,
23,GET_MESSAGE,Did Mom message me back last night?,O O O O O O O,
24,GET_MESSAGE,Show me todays unread messages.,O O SL:DATE_TIME SL:TAG_MESSAGE O,SL:DATE_TIME(todays) SL:TAG_MESSAGE(unread)
25,GET_MESSAGE,DID I REMEMBER TO MESSAGE LINDA YESTERDAY?,DSL:SENDERD SL:SENDER O O O LSL:SENDERNDA SL:DATE_TIME?,SL:SENDER(I) SL:RECIPIENT(LINDA) SL:DATE_TIME(YESTERDAY)
26,GET_MESSAGE,Are there any messages from the corporate office yesterday?,O O O O O SL:SENDER SL:DATE_TIME?,SL:SENDER(the corporate office) SL:DATE_TIME(yesterday)
27,GET_MESSAGE,Did I text Mimi today?,O SL:SENDER O SL:RECIPIENT SL:DATE_TIME?,SL:SENDER(I) SL:RECIPIENT(Mimi) SL:DATE_TIME(today)
28,GET_MESSAGE,Wha this Stacie say last week,O O SL:SENDER O SL:DATE_TIME,SL:SENDER(Stacie) SL:DATE_TIME(last week)
29,GET_MESSAGE,WIll you read the messages from yesterday?,O O O O O SL:DATE_TIME?,SL:DATE_TIME(from yesterday)
30,GET_MESSAGE,Read each message as it comes into my inbox.,O O O O O O O O O,
31,GET_MESSAGE,Start reading messages.,O O O,
32,GET_MESSAGE,What are the messages that are unopened,O O O O O O SL:TAG_MESSAGE,SL:TAG_MESSAGE(unopened)
33,GET_MESSAGE,Read the new messages,O O SL:TAG_MESSAGE O,SL:TAG_MESSAGE(new)
34,GET_MESSAGE,Show me unread messages,O O SL:TAG_MESSAGE O,SL:TAG_MESSAGE(unread)
35,GET_MESSAGE,read unread message.,O SL:TAG_MESSAGE O,SL:TAG_MESSAGE(unread)
36,GET_MESSAGE,read new messages instead,O SL:TAG_MESSAGE O O,SL:TAG_MESSAGE(new)
37,GET_MESSAGE,Show me messages that I marked important.,O O O O O O SL:TAG_MESSAGE.,SL:TAG_MESSAGE(important)
38,GET_MESSAGE,I asked if I sent a message to Kira this morning.,SL:SENDER O O SL:SENDER O O O O SL:RECIPIENT SL:DATE_TIME.,SL:SENDER(I) SL:RECIPIENT(Kira) SL:DATE_TIME(this morning)
39,GET_MESSAGE,show me all the new video messages from my jumping jacks group,O O SL:AMOUNT O SL:TAG_MESSAGE SL:TYPE_CONTENT O O O SL:GROUP O,SL:AMOUNT(all) SL:TAG_MESSAGE(new) SL:TYPE_CONTENT(video) SL:GROUP(jumping jacks)
40,GET_MESSAGE,What texts did Icelandic metal group say this morning?,O O O SL:GROUP O O SL:DATE_TIME?,SL:GROUP(Icelandic metal) SL:DATE_TIME(this morning)
41,GET_MESSAGE,Show texts in the church chat this week,O O O O SL:GROUP O SL:DATE_TIME,SL:GROUP(church) SL:DATE_TIME(this week)
42,GET_MESSAGE,Any messages in the Extended Family chat?,O O O O SL:GROUP O,SL:GROUP(Extended Family)
43,GET_MESSAGE,Did the school PTA send any messages yesterday?,O O SL:SENDER O O O SL:DATE_TIME?,SL:SENDER(school PTA) SL:DATE_TIME(yesterday)
44,GET_MESSAGE,Do I have any message from my Doctor's appointmet?,O O O O O O O O O,SL:CONTENT_EXACT(Doctor 's appointmet)
45,GET_MESSAGE,Any news from the hiking group?,O O O O SL:GROUP O,SL:GROUP(hiking)
46,GET_MESSAGE,Pull up yesterday's chat with the Woodworking Group,O O SL:DATE_TIME's O O O SL:GROUP O,SL:DATE_TIME(yesterday) SL:GROUP(Woodworking)
47,GET_MESSAGE,are there any new messages for me on imessage?,O O O SL:TAG_MESSAGE SL:RECIPIENTssages O SL:RECIPIENT O iSL:RECIPIENTssage?,SL:TAG_MESSAGE(new) SL:RECIPIENT(me) SL:RESOURCE(imessage)
48,GET_MESSAGE,do i have any new whatsapp messages,O O O O SL:TAG_MESSAGE SL:RESOURCE O,SL:TAG_MESSAGE(new) SL:RESOURCE(whatsapp)
49,GET_MESSAGE,can you tell me if i got any messages on messenger sunday,O O O O SL:RECIPIENTf SL:RECIPIENT O O O O SL:RESOURCE SL:DATE_TIME,SL:RECIPIENT(i) SL:RESOURCE(messenger) SL:DATE_TIME(sunday)
50,GET_MESSAGE,what are my new messags?,O O O SL:TAG_MESSAGE O,SL:TAG_MESSAGE(new)
51,GET_MESSAGE,Has Jane messaged me on Twitter today?,O SL:SENDER SL:RECIPIENTssaged SL:RECIPIENT O SL:RESOURCE SL:DATE_TIME?,SL:SENDER(Jane) SL:RECIPIENT(me) SL:RESOURCE(Twitter) SL:DATE_TIME(today)
52,GET_MESSAGE,What were the messages on Skype from Yesterday?,O O O O O SL:RESOURCE SL:DATE_TIME?,SL:RESOURCE(Skype) SL:DATE_TIME(from Yesterday)
53,GET_MESSAGE,Get me John's messages from Skype.,O O SL:SENDER's O O SL:RESOURCE.,SL:SENDER(John) SL:RESOURCE(Skype)
54,GET_MESSAGE,Did Dad message me on FaceBook?,O O O O O O,
55,GET_MESSAGE,Please show me my iMessages from this morning.,O O O O SL:RESOURCE SL:DATE_TIME.,SL:RESOURCE(iMessages) SL:DATE_TIME(from this morning)
56,GET_MESSAGE,Do I have new messages on Instagram?,O SL:RECIPIENT O SL:TAG_MESSAGE O O SL:RECIPIENTnstagram?,SL:RECIPIENT(I) SL:TAG_MESSAGE(new) SL:RESOURCE(Instagram)
57,GET_MESSAGE,Get video message from Facebook Messenger,O SL:TYPE_CONTENT O O SL:RESOURCE,SL:TYPE_CONTENT(video) SL:RESOURCE(Facebook Messenger)
58,GET_MESSAGE,Did I get any messages on Instagram?,O O O O O O SL:RESOURCE?,SL:RESOURCE(Instagram)
59,GET_MESSAGE,Show me all the video in WhatsApp from yesterday.,O O SL:AMOUNT O SL:TYPE_CONTENT O SL:RESOURCE SL:DATE_TIME.,SL:AMOUNT(all) SL:TYPE_CONTENT(video) SL:RESOURCE(WhatsApp) SL:DATE_TIME(from yesterday)
60,GET_MESSAGE,Show me my Instagram inbox.,O O O SL:RESOURCE O,SL:RESOURCE(Instagram)
61,GET_MESSAGE,Did Daniel message me on Messenger?,O SL:SENDER O O O SL:RESOURCE?,SL:SENDER(Daniel) SL:RESOURCE(Messenger)
62,GET_MESSAGE,Get me messages on Messenger from my mom.,O O O O SL:RESOURCE O O O,SL:RESOURCE(Messenger)
63,GET_MESSAGE,Read new message from Tim on Messenger,O SL:TAG_MESSAGE O O SL:SENDER O SL:RESOURCE,SL:TAG_MESSAGE(new) SL:SENDER(Tim) SL:RESOURCE(Messenger)
64,GET_MESSAGE,Are there any iMessage texts from last night?,O O O SL:RESOURCE O SL:DATE_TIME?,SL:RESOURCE(iMessage) SL:DATE_TIME(from last night)
65,GET_MESSAGE,Read iMessages from Jamie.,O SL:RESOURCE O SL:SENDER.,SL:RESOURCE(iMessages) SL:SENDER(Jamie)
66,GET_MESSAGE,Any new messages on WhatsApp?,O SL:TAG_MESSAGE O O SL:RESOURCE?,SL:TAG_MESSAGE(new) SL:RESOURCE(WhatsApp)
67,GET_MESSAGE,Give me my texts in Line,O O O O O SL:RESOURCE,SL:RESOURCE(Line)
68,GET_MESSAGE,Has Shawn sent me a new message on Line?,O SL:SENDER O SL:RECIPIENT O SL:TAG_MESSAGE SL:RECIPIENTssage O SL:RESOURCE?,SL:SENDER(Shawn) SL:RECIPIENT(me) SL:TAG_MESSAGE(new) SL:RESOURCE(Line)
69,GET_MESSAGE,Display my Skype texts,O O SL:RESOURCE O,SL:RESOURCE(Skype)
70,GET_MESSAGE,Did I get any Skype messages yesterday?,O O O O SL:RESOURCE O SL:DATE_TIME?,SL:RESOURCE(Skype) SL:DATE_TIME(yesterday)
71,GET_MESSAGE,Play any missed Skype video messages.,O O SL:TAG_MESSAGE SL:RESOURCE SL:TYPE_CONTENT O,SL:TAG_MESSAGE(missed) SL:RESOURCE(Skype) SL:TYPE_CONTENT(video)
72,GET_MESSAGE,Did I get Skype messages this morning?,O O O SL:RESOURCE O SL:DATE_TIME?,SL:RESOURCE(Skype) SL:DATE_TIME(this morning)
73,GET_MESSAGE,Read that last message on Whatsapp.,O O SL:ORDINAL O O SL:RESOURCE.,SL:ORDINAL(last) SL:RESOURCE(Whatsapp)
74,GET_MESSAGE,Please display my mom's messenger thread,O O O O O O,
75,GET_MESSAGE,please launch my chat requests now,O O O O O O,
76,GET_MESSAGE,Proceed reading chat requests to me.,O O O O O O,
77,GET_MESSAGE,start chats please,O O O,
78,GET_MESSAGE,find me my chats please,O O O O O,
79,GET_MESSAGE,look up chat requests,O O O O,
80,GET_MESSAGE,view my chat requests,O O O O,
81,GET_MESSAGE,i want my chat requests,O O O O O,
82,GET_MESSAGE,start chats,O O,
83,GET_MESSAGE,view my chat requests,O O O O,
84,GET_MESSAGE,view my chat requests,O O O O,
85,GET_MESSAGE,bring up chats,O O O,
86,GET_MESSAGE,begin my chat requests,O O O O,
87,GET_MESSAGE,look up chat requests,O O O O,
88,GET_MESSAGE,look up chats,O O O,
89,GET_MESSAGE,Do I have any chats,O O O O O,
90,GET_MESSAGE,Please read all my chat requests.,O O SL:AMOUNT O O O,SL:AMOUNT(all)
91,GET_MESSAGE,open my chats,O O O,
92,GET_MESSAGE,Show my chat requests,O O O O,
93,GET_MESSAGE,would you pull up chats now,O O O O O O,
94,GET_MESSAGE,display my chat requests,O O O O,
95,GET_MESSAGE,start chat requests,O O O,
96,GET_MESSAGE,show my chat requests,O O O O,
97,GET_MESSAGE,bring up chats,O O O,
98,GET_MESSAGE,view chats,O O,
99,GET_MESSAGE,i want my chat requests please,O O O O O O,
100,GET_MESSAGE,go to my text chat requests,O O O O O O,
101,GET_MESSAGE,view chats,O O,
102,GET_MESSAGE,switch to my chat requests,O O O O O,
103,GET_MESSAGE,bring up chat requests,O O O O,
104,GET_MESSAGE,i want to view chats,O O O O O,
105,GET_MESSAGE,please open my chats,O O O O,
106,GET_MESSAGE,would you pull up chat requests now,O O O O O O O,
107,GET_MESSAGE,begin chat requests,O O O,
108,GET_MESSAGE,take me to chat requests,O O O O O,
109,GET_MESSAGE,launch chat requests,O O O,
110,GET_MESSAGE,please launch my chats please,O O O O O,
111,GET_MESSAGE,i want to view chats,O O O O O,
112,GET_MESSAGE,Keep reading chat requests,O O O O,
113,GET_MESSAGE,i want to view chat requests,O O O O O O,
114,GET_MESSAGE,can you go to chats,O O O O O,
115,GET_MESSAGE,please launch my chats now,O O O O O,
116,GET_MESSAGE,display chats please,O O O,
117,GET_MESSAGE,please look up chats now,O O O O O,
118,GET_MESSAGE,check my chats,O O O,
119,GET_MESSAGE,look up chats,O O O,
120,GET_MESSAGE,read chats on phone,O O O O,
121,GET_MESSAGE,bring up chats now,O O O O,
122,GET_MESSAGE,chats,O,
123,GET_MESSAGE,get my chats,O O O,
124,GET_MESSAGE,i want my chats,O O O O,
125,GET_MESSAGE,bring up chats,O O O,
126,GET_MESSAGE,switch to chats please,O O O O,
127,GET_MESSAGE,Open chats and read,O O O O,
128,GET_MESSAGE,show my chats,O O O,
129,GET_MESSAGE,begin my chats,O O O,
130,GET_MESSAGE,browse my chats,O O O,
131,GET_MESSAGE,display my chats,O O O,
132,GET_MESSAGE,start chats,O O,
133,GET_MESSAGE,browse chats,O O,
134,GET_MESSAGE,view my chats,O O O,
135,GET_MESSAGE,bring up my chats,O O O O,
136,GET_MESSAGE,retrieve chat requests please,O O O O,
137,GET_MESSAGE,browse chat requests please,O O O O,
138,GET_MESSAGE,bring up my chat requests now,O O O O O O,
139,GET_MESSAGE,Please start reading my text chat requests,O O O O O O O,
140,GET_MESSAGE,pull up my chat requests,O O O O O,
141,GET_MESSAGE,can you show me my chat requests,O O O O O O O,
142,GET_MESSAGE,i want chat requests,O O O O,
143,GET_MESSAGE,start chat requests,O O O,
144,GET_MESSAGE,view chat requests,O O O,
145,GET_MESSAGE,look up my chat requests please,O O O O O O,
146,GET_MESSAGE,Read chat requests from a different status.,O O O O O O O,
147,GET_MESSAGE,can you go to chat requests,O O O O O O,
148,GET_MESSAGE,bring up chat requests please,O O O O O,
149,GET_MESSAGE,Show newest messages,O SL:TAG_MESSAGE O,SL:TAG_MESSAGE(newest)
150,GET_MESSAGE,Show me my new texts please,O O O SL:TAG_MESSAGE O O,SL:TAG_MESSAGE(new)
151,GET_MESSAGE,Get all my new messages,O SL:AMOUNT O SL:TAG_MESSAGE O,SL:AMOUNT(all) SL:TAG_MESSAGE(new)
152,GET_MESSAGE,What are my latest messages?,O O O SL:ORDINAL O,SL:ORDINAL(latest)
153,GET_MESSAGE,What is my new texts?,O O O SL:TAG_MESSAGE O,SL:TAG_MESSAGE(new)
154,GET_MESSAGE,Get my texts,O O O,
155,GET_MESSAGE,What are my new messages?,O O O SL:TAG_MESSAGE O,SL:TAG_MESSAGE(new)
156,GET_MESSAGE,Grab latest texts.,O SL:ORDINAL O,SL:ORDINAL(latest)
157,GET_MESSAGE,What are the messages in my inbox?,O O O O O O O,
158,GET_MESSAGE,Get me those SMS messages please.,O O O SL:RESOURCE O O,SL:RESOURCE(SMS)
159,GET_MESSAGE,Display every new SMS.,O O SL:TAG_MESSAGE SL:RESOURCE.,SL:TAG_MESSAGE(new) SL:RESOURCE(SMS)
160,GET_MESSAGE,Pull up all my messages.,O O SL:AMOUNT O O,SL:AMOUNT(all)
161,GET_MESSAGE,Has Mandy Jones sent me a text this week?,O SL:SENDER O SL:RECIPIENT O O SL:DATE_TIME?,SL:SENDER(Mandy Jones) SL:RECIPIENT(me) SL:DATE_TIME(this week)
162,GET_MESSAGE,Do I have new messages from my niece?,O SL:RECIPIENT O SL:TAG_MESSAGE O O O O,SL:RECIPIENT(I) SL:TAG_MESSAGE(new)
163,GET_MESSAGE,Show me messages from Mary Wilson,O O O O SL:SENDER,SL:SENDER(Mary Wilson)
164,GET_MESSAGE,Have I gotten any texts from Lily?,O SL:RECIPIENT O O O O SL:SENDER?,SL:RECIPIENT(I) SL:SENDER(Lily)
165,GET_MESSAGE,Did Mom reply to my last message?,O O O O O O O,
166,GET_MESSAGE,Kyle's texts,SL:SENDER's O,SL:SENDER(Kyle)
167,GET_MESSAGE,Has Jess texted me today at all?,O SL:SENDER O SL:RECIPIENT SL:DATE_TIME O O,SL:SENDER(Jess) SL:RECIPIENT(me) SL:DATE_TIME(today)
168,GET_MESSAGE,Let me see what Isaac texted me today,O SL:RECIPIENT O O SL:SENDER O SL:RECIPIENT SL:DATE_TIME,SL:SENDER(Isaac) SL:RECIPIENT(me) SL:DATE_TIME(today)
169,GET_MESSAGE,Show my texts today from Nana,O O O SL:DATE_TIME O O,SL:DATE_TIME(today)
170,GET_MESSAGE,Show me what my older brother texted me yesterday,O O O O O O O O O,
171,GET_MESSAGE,Display latest texts from Lucía,O SL:ORDINAL O O SL:SENDER,SL:ORDINAL(latest) SL:SENDER(Lucía)
172,GET_MESSAGE,Has María from college been texting today?,O SL:SENDER O O O O SL:DATE_TIME?,SL:SENDER(María) SL:DATE_TIME(today)
173,GET_MESSAGE,Video messages Lenora Thursday,SL:TYPE_CONTENT O SL:SENDER SL:DATE_TIME,SL:TYPE_CONTENT(Video) SL:SENDER(Lenora) SL:DATE_TIME(Thursday)
174,GET_MESSAGE,What messages did Aunt Pauline send me earlier?,O O O O O O O O,
175,GET_MESSAGE,Show messages from Juan,O O O SL:SENDER,SL:SENDER(Juan)
176,GET_MESSAGE,Has Anthony Robbins sent me any texts?,O SL:SENDER O SL:RECIPIENT O O,SL:SENDER(Anthony Robbins) SL:RECIPIENT(me)
177,GET_MESSAGE,Give me the messages from John.,O O O O O SL:SENDER.,SL:SENDER(John)
178,GET_MESSAGE,Show me all my messages on FaceBook.,O O SL:AMOUNT O O O SL:RESOURCE.,SL:AMOUNT(all) SL:RESOURCE(FaceBook)
179,GET_MESSAGE,Show me messages from Andy.,O O O O SL:SENDER.,SL:SENDER(Andy)
180,GET_MESSAGE,Has dad sent any messages today?,O O O O O O,
181,GET_MESSAGE,Did my bro text?,O O O O,
182,GET_MESSAGE,Can you show me SMS from Guilherme?,O O O O SL:RESOURCE O SL:SENDER?,SL:RESOURCE(SMS) SL:SENDER(Guilherme)
183,GET_MESSAGE,Please show messages from Family group,O O O O SL:GROUP O,SL:GROUP(Family)
184,GET_MESSAGE,Let's see the messages from the Surprise Birthday Party thread,O O O O O O SL:GROUP O,SL:GROUP(Surprise Birthday Party)
185,GET_MESSAGE,Any texts from the Movie Night group?,O O O O SL:GROUP O,SL:GROUP(Movie Night)
186,GET_MESSAGE,Tell me the latest salsa class group messages,O O O SL:ORDINAL SL:GROUP O O,SL:ORDINAL(latest) SL:GROUP(salsa class)
187,GET_MESSAGE,Show me the family chat.,O O O SL:GROUP O,SL:GROUP(family)
188,GET_MESSAGE,What's new on the co-worker thread?,O SL:TAG_MESSAGE O O O O,SL:TAG_MESSAGE(new) SL:GROUP(co - worker)
189,GET_MESSAGE,Do I have anything from the bunko group?,O O O O O O SL:GROUP O,SL:GROUP(bunko)
190,GET_MESSAGE,Did I get anything on the chitchat thread?,O O O O O O SL:GROUP O,SL:GROUP(chitchat)
191,GET_MESSAGE,What's on the gardening group chat?,O O O SL:GROUP O O,SL:GROUP(gardening)
192,GET_MESSAGE,Pull up texts by My Fam chat,O O O O O SL:GROUP O,SL:GROUP(Fam)
193,GET_MESSAGE,Bring up work chat SMS,O O SL:GROUP O SL:RESOURCE,SL:GROUP(work) SL:RESOURCE(SMS)
194,GET_MESSAGE,Some new message on merengue thread?,O O O O SL:GROUP O,SL:GROUP(merengue)
195,GET_MESSAGE,Are there any messges from Ski Trip chat?,O O O O O SL:GROUP O,SL:GROUP(Ski Trip)
196,GET_MESSAGE,Show me new messages from work chat,O O SL:TAG_MESSAGE O O SL:GROUP O,SL:TAG_MESSAGE(new) SL:GROUP(work)
197,GET_MESSAGE,Get me the last text from Alex Brian and Chang thread,O O O SL:ORDINAL O O SL:GROUP O,SL:ORDINAL(last) SL:GROUP(Alex Brian and Chang)
198,GET_MESSAGE,Bring up last text from ice fishing thread,O O SL:ORDINAL O O SL:GROUP O,SL:ORDINAL(last) SL:GROUP(ice fishing)
199,GET_MESSAGE,What new messages are there in the tiki bar thread?,O SL:TAG_MESSAGE O O O O O SL:GROUP O,SL:TAG_MESSAGE(new) SL:GROUP(tiki bar)
200,GET_MESSAGE,Are there new messages in my work chat?,O O SL:TAG_MESSAGE O O O SL:GROUP O,SL:TAG_MESSAGE(new) SL:GROUP(work)
201,GET_MESSAGE,I wanna see new messages in Spanish Project group,O O O SL:TAG_MESSAGE O O SL:GROUP O,SL:TAG_MESSAGE(new) SL:GROUP(Spanish Project)
202,GET_MESSAGE,Show photography group texts,O SL:GROUP O O,SL:GROUP(photography)
203,GET_MESSAGE,Can you check for new nexts from my movie marathon group?,O O O O SL:TAG_MESSAGE O O O SL:GROUP O,SL:TAG_MESSAGE(new) SL:GROUP(movie marathon)
204,GET_MESSAGE,Show me messages from the Greek group.,O O O O O SL:GROUP O,SL:GROUP(Greek)
205,GET_MESSAGE,Open texts from the orchestra chat.,O O O O SL:GROUP O,SL:GROUP(orchestra)
206,GET_MESSAGE,Got any new texts from the circus group?,O O SL:TAG_MESSAGE O O O SL:GROUP O,SL:TAG_MESSAGE(new) SL:GROUP(circus)
207,GET_MESSAGE,Any new texts in the trivia team chat?,O SL:TAG_MESSAGE O O O SL:GROUP O,SL:TAG_MESSAGE(new) SL:GROUP(trivia team)
208,GET_MESSAGE,Grab messages from costume party chat.,O O O SL:GROUP O,SL:GROUP(costume party)
209,GET_MESSAGE,Whose video message just came in?,O SL:TYPE_CONTENT O O O O,SL:TYPE_CONTENT(video)
210,GET_MESSAGE,Tell me who sent the video message,O O O O O SL:TYPE_CONTENT O,SL:TYPE_CONTENT(video)
211,GET_MESSAGE,Please who just messaged me?,O O O SL:RECIPIENTssaged SL:RECIPIENT?,SL:RECIPIENT(me)
212,GET_MESSAGE,Who is this message from?,O O O O O,
213,GET_MESSAGE,Who is sending me these messages?,O O O SL:RECIPIENT O SL:RECIPIENTssages?,SL:RECIPIENT(me)
214,GET_MESSAGE,Who sent me that text earlier?,O O SL:RECIPIENT O O O,SL:RECIPIENT(me)
215,GET_MESSAGE,Who just messaged me?,O O SL:RECIPIENTssaged SL:RECIPIENT?,SL:RECIPIENT(me)
216,GET_MESSAGE,Who sent an sms to me?,O O O SL:RESOURCE O SL:RECIPIENT?,SL:RESOURCE(sms) SL:RECIPIENT(me)
217,GET_MESSAGE,Someone messaged me who was it?,O O O O O O,
218,GET_MESSAGE,Who messaged now?,O O O,
219,GET_MESSAGE,"Siri, who texted me?",O O O SL:RECIPIENT?,SL:RECIPIENT(me)
220,GET_MESSAGE,Read me the last message from mom.,O O O SL:ORDINAL O O O,SL:ORDINAL(last)
221,GET_MESSAGE,"Siri, who texted me on iMessage?",O O O SL:RECIPIENT O SL:RESOURCE?,SL:RECIPIENT(me) SL:RESOURCE(iMessage)
222,GET_MESSAGE,alexa read new messages in BBM app.,O O SL:TAG_MESSAGE O O SL:RESOURCE O,SL:TAG_MESSAGE(new) SL:RESOURCE(BBM)
