question,answer/0,answer/1,answer/2,answer/3,answer/4,answer/5,answer/6,answer/7,answer/8,answer/9,answer/10,answer/11,answer/12,answer/13,answer/14,answer/15,answer/16,answer/17,answer/18,answer/19,answer/20,answer/21,answer/22
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,Rob Davis,Cathy Dennis,,,,,,,,,,,,,,,,,,,,
where does no game no life anime end,the Elkia Federation,the sixth volume,,,,,,,,,,,,,,,,,,,,,
when did taylor swift's first album release,"October 24, 2006",2005,,,,,,,,,,,,,,,,,,,,,
what are the three fifty shades of grey books,Fifty Shades of Grey,Fifty Shades Darker,Fifty Shades Freed,,,,,,,,,,,,,,,,,,,,
who has the power (judicial) to make decisions in courts of law,judges,,,,,,,,,,,,,,,,,,,,,,
what are the ranks in the us navy,E-8s senior chief petty officer,E-9s master chief petty officer,,,,,,,,,,,,,,,,,,,,,
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,,,,,,,,,,,,,,,,,,,,,,
who is the coach for the ottawa senators,Guy Boucher,,,,,,,,,,,,,,,,,,,,,,
last episode of what happens to my family,53,,,,,,,,,,,,,,,,,,,,,,
when is the last time the vikings were in the nfc championship,1976,2017/18,,,,,,,,,,,,,,,,,,,,,
what are the colors of the netherlands flag,blue,white,red,,,,,,,,,,,,,,,,,,,,
where is lord's prayer found in bible,in the Gospel of Luke,,,,,,,,,,,,,,,,,,,,,,
when was the last time oklahoma won a national championship in football,2003,2000,,,,,,,,,,,,,,,,,,,,,
location of the ten commandments in the bible,Exodus,Deuteronomy,,,,,,,,,,,,,,,,,,,,,
where did the allies go after north africa,Italy,the Italian Campaign,,,,,,,,,,,,,,,,,,,,,
what is the meaning of veronica in english,she who brings victory,,,,,,,,,,,,,,,,,,,,,,
what is the name of the main artery which takes blood from the heart to the body,The aorta,aorta,,,,,,,,,,,,,,,,,,,,,
who played solomon in little house on the prairie,Todd Bridges,,,,,,,,,,,,,,,,,,,,,,
who does eric end up with in that 70s show,Donna,,,,,,,,,,,,,,,,,,,,,,
an object that moves around an external axis is said to be,revolution or orbital revolution,orbit,,,,,,,,,,,,,,,,,,,,,
architectural elements forming rib vaults eg wells cathedral,an armature of piped masonry,barrel vaults,two to three barrel vaults,,,,,,,,,,,,,,,,,,,,
who sang the song good morning good morning,Gene Kelly,Donald O'Connor,Judy Garland,Debbie Reynolds,Mickey Rooney,,,,,,,,,,,,,,,,,,
who wrote papa got a brand new bag,James Brown,,,,,,,,,,,,,,,,,,,,,,
where does a roadrunner live in the desert,mountainous shrubland,arid lowland,,,,,,,,,,,,,,,,,,,,,
who wrote it's a long long way to pasadena,John Young,Harry Vanda,David Hemmings,George Young,,,,,,,,,,,,,,,,,,,
what's the dog's name on tom and jerry,Spike,,,,,,,,,,,,,,,,,,,,,,
who are nominated for president of india 2017,Meira Kumar,Ram Nath Kovind,,,,,,,,,,,,,,,,,,,,,
where does the path train stop in newark,Newark Penn Station,,,,,,,,,,,,,,,,,,,,,,
where does route 66 start on the west coast,in Santa Monica,,,,,,,,,,,,,,,,,,,,,,
who is the first wife on sister wives,Meri,,,,,,,,,,,,,,,,,,,,,,
when did houston go to the american league,2013,,,,,,,,,,,,,,,,,,,,,,
when did they stop cigarette advertising on television,"January 2, 1971",1970,,,,,,,,,,,,,,,,,,,,,
coldplay song i will try to fix you,"""Fix You""",,,,,,,,,,,,,,,,,,,,,,
points on a sphere or angles in a circle are measured in units called,radians,,,,,,,,,,,,,,,,,,,,,,
the oligodynamic effect is a phenomenon that describes,a biocidal effect of metals,,,,,,,,,,,,,,,,,,,,,,
where does the white witch live in narnia,her castle,,,,,,,,,,,,,,,,,,,,,,
how many games in a row have the uconn women's basketball team won,111 straight wins,111,90,,,,,,,,,,,,,,,,,,,,
is there a name for the at symbol,commercial at,at symbol,at sign,,,,,,,,,,,,,,,,,,,,
who sings the theme song for the tv show cops,Inner Circle,Jamaican reggae band Inner Circle,,,,,,,,,,,,,,,,,,,,,
when was corporal punishment banned in south africa,1997,,,,,,,,,,,,,,,,,,,,,,
who plays captain phasma in star wars the force awakens,Gwendoline Christie,,,,,,,,,,,,,,,,,,,,,,
who sings she's like the wind lyrics,Wendy Fraser,Patrick Swayze,,,,,,,,,,,,,,,,,,,,,
when did marathon change its name to snickers,19 July 1990,,,,,,,,,,,,,,,,,,,,,,
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,,,,,,,,,,,,,,,,,,,,,,
who ordered the forbidden city to be built,Zhu Di,,,,,,,,,,,,,,,,,,,,,,
who sang let me tell you about the birds and the bees,Jewel Akens,,,,,,,,,,,,,,,,,,,,,,
who has the power to approve or veto legislation constitution,the President,,,,,,,,,,,,,,,,,,,,,,
how many seasons of the rugrats are there,9 seasons,9,,,,,,,,,,,,,,,,,,,,,
who is the minister of local government in zimbabwe,Hon July Moyo,,,,,,,,,,,,,,,,,,,,,,
what was the initial effect of the transition from command to market economies in eastern europe,Inequality of opportunity,,,,,,,,,,,,,,,,,,,,,,
when did toyota start making cars in the us,by the early 1980s,1984,,,,,,,,,,,,,,,,,,,,,
how many pieces in a terry's chocolate orange,six,20,,,,,,,,,,,,,,,,,,,,,
who plays the saint of killers on preacher,Graham McTavish,,,,,,,,,,,,,,,,,,,,,,
when did the royal proclamation of 1763 end,the American Revolutionary War,with the American Revolutionary War,1783,,,,,,,,,,,,,,,,,,,,
who is playing the halftime show at super bowl 2016,Beyoncé,Coldplay,Bruno Mars,,,,,,,,,,,,,,,,,,,,
jonny cash one piece at a time car,Cadillac,,,,,,,,,,,,,,,,,,,,,,
what is the minimum wage in france per hour,11.16,€9.88 per hour.,,,,,,,,,,,,,,,,,,,,,
describe the three phases of the normal blood clotting process,blood coagulation,"vasoconstriction,",,,,,,,,,,,,,,,,,,,,,
when did amnesia the dark descent come out,8 September 2010,,,,,,,,,,,,,,,,,,,,,,
what is the oldest street in the philippines,Cebu City,Colon Street,,,,,,,,,,,,,,,,,,,,,
where is the tibia and fibula bone located,leg,,,,,,,,,,,,,,,,,,,,,,
who played bat masterson in the tv series,Gene Barry,,,,,,,,,,,,,,,,,,,,,,
who sings sugar sugar you are my candy girl,the Archies,,,,,,,,,,,,,,,,,,,,,,
types of skiing in the winter olympics 2018,Slalom,Downhill,Super-G,Giant slalom,Slalom – (SC),,,,,,,,,,,,,,,,,,
who plays noah newman on the young and the restless,Robert Gillespie Adamson IV,,,,,,,,,,,,,,,,,,,,,,
who has won the most games in nfl 2017,Dallas Cowboys,,,,,,,,,,,,,,,,,,,,,,
under article 1 what is the minimum age required to serve in the house of representatives,25,25 years old,,,,,,,,,,,,,,,,,,,,,
who has the most catches in nfl history,Jerry Rice,,,,,,,,,,,,,,,,,,,,,,
when does the dlc for rainbow six siege come out,January 2018,,,,,,,,,,,,,,,,,,,,,,
who was the great wall of china built to defend against,nomads from Inner Asia,nomads from Inner Asia.,,,,,,,,,,,,,,,,,,,,,
where does the last name galvez come from,Spanish surname,Spanish,,,,,,,,,,,,,,,,,,,,,
who opens the church of the holy sepulchre,the Sunni Muslim family,the Nusaybah family,,,,,,,,,,,,,,,,,,,,,
when does season 5 of the blacklist resume,"January 31, 2018",,,,,,,,,,,,,,,,,,,,,,
the chinese dragons are protectors of how many seas diggy,Four Seas,Four,,,,,,,,,,,,,,,,,,,,,
how much money did it cost to make gta v,137,,,,,,,,,,,,,,,,,,,,,,
what is the angle of the tower of pisa,about 3.99 degrees,3.99 degrees,at about 3.99 degrees,,,,,,,,,,,,,,,,,,,,
what is the share of agriculture in indian economy,17.32%,23%,,,,,,,,,,,,,,,,,,,,,
who does demetrius love in a midsummer night dream,Helena,Hermia,,,,,,,,,,,,,,,,,,,,,
when did the movie varsity blues come out,1999,"January 15, 1999",,,,,,,,,,,,,,,,,,,,,
when does the champions league quarter finals start,16 March 2018,3–4 April 2018,,,,,,,,,,,,,,,,,,,,,
who was the famous scientist that ran the research lab moseley went to in manchester,Sir Ernest Rutherford,,,,,,,,,,,,,,,,,,,,,,
where do you get a cashiers check from,a bank,bank,,,,,,,,,,,,,,,,,,,,,
who does stefan marry in the vampire diaries,Caroline Forbes,,,,,,,,,,,,,,,,,,,,,,
what is the meaning of cc and bcc,Carbon copy,Carbon copy to secondary recipients,Blind carbon copy,,,,,,,,,,,,,,,,,,,,
hazels boyfriend in the fault in our stars,Augustus Waters,,,,,,,,,,,,,,,,,,,,,,
when does the day of the dead end,November 2,,,,,,,,,,,,,,,,,,,,,,
when do you celebrate birthday if born on feb 29,February 29,February 28,March 1,,,,,,,,,,,,,,,,,,,,
where does new york drinking water come from,the eastern Catskill Mountains,,,,,,,,,,,,,,,,,,,,,,
where is the citrus bowl held this year,Camping World Stadium,,,,,,,,,,,,,,,,,,,,,,
what year does the quiet man take place,the 1920s,In the 1920s,,,,,,,,,,,,,,,,,,,,,
how many seasons of rules of engagement is there,7,seven,,,,,,,,,,,,,,,,,,,,,
who plays alec ramsay in the black stallion,Kelly Reno,,,,,,,,,,,,,,,,,,,,,,
who plays dusty in the movie pure country,George Strait,,,,,,,,,,,,,,,,,,,,,,
how many episodes of greys anatomy season 14,24,24 episodes,21,,,,,,,,,,,,,,,,,,,,
who is currently serving as president of the senate,Orrin Hatch,Patrick Leahy,,,,,,,,,,,,,,,,,,,,,
what percentage of sunlight is captured by plants to convert it into food energy,45%,3 to 6%,,,,,,,,,,,,,,,,,,,,,
what type of economic system was utilized in the soviet union,communism,state ownership,,,,,,,,,,,,,,,,,,,,,
how many gold medals did australia win in the 2000 olympics,16,,,,,,,,,,,,,,,,,,,,,,
who started ww2 and how did it start,Nazi Germany,,,,,,,,,,,,,,,,,,,,,,
when did the royal mint move to wales,1968,the 1960s.,17 December 1968,the 1960s,,,,,,,,,,,,,,,,,,,
when did bird is the word come out,1963,,,,,,,,,,,,,,,,,,,,,,
how tall is the actor who plays hagrid in harry potter,6ft 1in,,,,,,,,,,,,,,,,,,,,,,
who is opening for little mix glory days tour,Sheppard,Zoe Badwi,Louisa Johnson,Bronnie,The Vamps,Ella Eyre,Conor Maynard,,,,,,,,,,,,,,,,
who performed the first c section in 1794,Dr. Jesse Bennett,,,,,,,,,,,,,,,,,,,,,,
who voices randy in f is for family,T.J. Miller,,,,,,,,,,,,,,,,,,,,,,
bible verse taking the lord's name in vain,Exodus 20:7,,,,,,,,,,,,,,,,,,,,,,
who controlled the house and the senate in 2012,Republican,Democratic,,,,,,,,,,,,,,,,,,,,,
when's the last time army won the army navy game,2017,Army,,,,,,,,,,,,,,,,,,,,,
when does thomas rhett's new album come out,"September 8, 2017",,,,,,,,,,,,,,,,,,,,,,
who won the champions league final in 2016,Real Madrid,,,,,,,,,,,,,,,,,,,,,,
who is the real killer in basic instinct 2,Catherine Tramell,,,,,,,,,,,,,,,,,,,,,,
who does the voice of mickey mouse on mickey mouse clubhouse,Bret Iwan,Wayne Allwine,,,,,,,,,,,,,,,,,,,,,
when was the last episode of vampire diaries aired,"March 10, 2017","March 10, 2017",,,,,,,,,,,,,,,,,,,,,
where did the dewey decimal system come from,Melvil Dewey,,,,,,,,,,,,,,,,,,,,,,
where did the jungle book story come from,English author Rudyard Kipling,,,,,,,,,,,,,,,,,,,,,,
derek and meredith get back together season 3,Staring at the Sun,,,,,,,,,,,,,,,,,,,,,,
who did america declare war on in ww1,Austria-Hungary,,,,,,,,,,,,,,,,,,,,,,
who played zoe hart on hart of dixie,Rachel Sarah Bilson,,,,,,,,,,,,,,,,,,,,,,
what was tom hanks character name in castaway,Chuck Noland,,,,,,,,,,,,,,,,,,,,,,
what engine is in a holden v8 supercar,V8-engine,,,,,,,,,,,,,,,,,,,,,,
when did the sat become out of 1600,March 2016,2014,2016,,,,,,,,,,,,,,,,,,,,
when was the minimum wage established in the united states,1938,1933,1912,,,,,,,,,,,,,,,,,,,,
when did the rational dress society begin to work,1881,,,,,,,,,,,,,,,,,,,,,,
what is the baby elephants name in jungle book,Hathi Jr.,,,,,,,,,,,,,,,,,,,,,,
where is fe best absorbed in the body,in the duodenum,the duodenum,,,,,,,,,,,,,,,,,,,,,
who is the biggest selling female group of all time,Spice Girls,,,,,,,,,,,,,,,,,,,,,,
epidemiologists attempt to explain the link between health and variables such as,biological agents,disease conditions in defined populations,smoking,stress,chemicals,alcohol,,,,,,,,,,,,,,,,,
who won the mens single ice skating 2018,Yuzuru Hanyu,Javier Fernández,Shoma Uno,,,,,,,,,,,,,,,,,,,,
where is the boy who played charlie in willy wonka,Peter Gardner[4] Ostrum,"Lowville, New York",,,,,,,,,,,,,,,,,,,,,
where was the first session of the assam association held in1905,Guwahati,,,,,,,,,,,,,,,,,,,,,,
who played ice queen in chronicles of narnia,Tilda Swinton,Laura Brent,,,,,,,,,,,,,,,,,,,,,
when is season 2 of jessica jones being released,"March 8, 2018",,,,,,,,,,,,,,,,,,,,,,
when was united nations convention on the rights of the child created,20 November 1989,,,,,,,,,,,,,,,,,,,,,,
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,,,,,,,,,,,,,,,,,,,,,,
what type of database is library literature and information science,bibliographic database,bibliographic,,,,,,,,,,,,,,,,,,,,,
when did the united states start using the death penalty,the beginning,1608,,,,,,,,,,,,,,,,,,,,,
when was coffee first made into a drink,15th century,the 15th century,,,,,,,,,,,,,,,,,,,,,
who is jared on the bold and the beautiful,Andrew Collins,,,,,,,,,,,,,,,,,,,,,,
who wrote knock knock knocking on heavens door,Bob Dylan,,,,,,,,,,,,,,,,,,,,,,
when did the movie napoleon dynamite come out,"June 11, 2004",2004,,,,,,,,,,,,,,,,,,,,,
who starred in an officer and a gentleman,Richard Gere,David Keith,Louis Gossett Jr.,Debra Winger,Phillip J. Salmon,,,,,,,,,,,,,,,,,,
who plays chummy's mother in call the midwife,Cheryl Campbell,,,,,,,,,,,,,,,,,,,,,,
name two fibres which are made of proteins,feathers,hair,wool,fur,silk,,,,,,,,,,,,,,,,,,
how many super bowl games has the patriots played in,10,ten,ten times,,,,,,,,,,,,,,,,,,,,
where do they put the tomb vampires in order to burn them during founders day,the Gilbert building,,,,,,,,,,,,,,,,,,,,,,
who is the king and queen of the netherlands,Queen Máxima of the Netherlands,King Willem-Alexander,,,,,,,,,,,,,,,,,,,,,
where is gall bladder situated in human body,beneath the liver,,,,,,,,,,,,,,,,,,,,,,
what is the current population of bora bora,"10,605",,,,,,,,,,,,,,,,,,,,,,
where does tropic of cancer pass in india,Chhattisgarh,West Bengal,Gujarat,State of Tripura,Jharkhand,State of Mizoram,Madhya Pradesh,Rajasthan,,,,,,,,,,,,,,,
who made the song falling in love with you,Hugo Peretti,George David Weiss,Elvis Presley,Luigi Creatore,,,,,,,,,,,,,,,,,,,
which is produced in plants of narora kakrapar tarapur,Atomic Power,,,,,,,,,,,,,,,,,,,,,,
what is the first book of percy jackson,The Lightning Thief,,,,,,,,,,,,,,,,,,,,,,
who was originally cast to play indiana jones,Tom Selleck,,,,,,,,,,,,,,,,,,,,,,
what proposition made the insurance commissioner an elected position,Proposition 103,Proposition 103 in 1988,,,,,,,,,,,,,,,,,,,,,
who played amy grant i i can only imagine,Nicole DuPort,,,,,,,,,,,,,,,,,,,,,,
who sings the song only in my dreams,Debbie Gibson,,,,,,,,,,,,,,,,,,,,,,
who appoints the chair of the federal reserve system,President of the United States,,,,,,,,,,,,,,,,,,,,,,
who wins the next iron chef super chefs,Zakarian,Geoffrey Zakarian,,,,,,,,,,,,,,,,,,,,,
when does body temperature tend to be lowest,11 p.m. to 3 a.m.,,,,,,,,,,,,,,,,,,,,,,
who sings the whiskey ain't workin anymore,Dennis Locorriere,Marty Stuart,Travis Tritt,Tim Passmore,Travis Tritt and Marty Stuart,,,,,,,,,,,,,,,,,,
what year is it for the jewish calendar,AM 5778,5778,,,,,,,,,,,,,,,,,,,,,
chief ministers of tamil nadu mentioned on wikipedia,Ramakrishna Ranga Rao,Tanguturi Prakasam,P. Subbarayan,M. G. Ramachandran,Janaki Ramachandran,P. T. Rajan,J. Jayalalithaa,M. Karunanidhi,A. Subbarayalu Reddiar,C. N. Annadurai,P. S. Kumaraswamy Raja,K. Palaniswami,O. Panneerselvam,V.R. Nedunchezhiyan,Raja of Panagal,O. P. Ramaswamy Reddiyar,Kurma Venkata Reddy Naidu,B. Munuswamy Naidu,C. Rajagopalachari,,,,
what is the function of a political action committee (pac),pools campaign contributions from members,,,,,,,,,,,,,,,,,,,,,,
who has the most followers in the world on instagram,Instagram's own account,Instagram,,,,,,,,,,,,,,,,,,,,,
what type of political system does el salvador have,a presidential representative democratic republic,"""flawed democracy""",presidential representative democratic republic,,,,,,,,,,,,,,,,,,,,
where is simple squamous epithelium found in the body,alveoli,outer layer of skin,capillaries,glomeruli,,,,,,,,,,,,,,,,,,,
who is president of india in present time,Ram Nath Kovind,,,,,,,,,,,,,,,,,,,,,,
what role does the president play in foreign affairs,negotiates treaties with foreign nations,,,,,,,,,,,,,,,,,,,,,,
when did ole miss beat alabama in football,"October 3, 1970","September 11, 1976","October 13, 2001","October 27, 1894","October 18, 2003","November 5, 1910","October 8, 1988","October 4, 2014","September 19, 2015","October 5, 1968",,,,,,,,,,,,,
what grade was arnold from hey arnold in,fourth,,,,,,,,,,,,,,,,,,,,,,
who translated the play neel darpan into english,Michael Madhusudan Dutta,Reverend J.Long,,,,,,,,,,,,,,,,,,,,,
when does the miz and maryse show start,2018,,,,,,,,,,,,,,,,,,,,,,
what channel is celebrity big brother on in the usa,CBS,on CBS,,,,,,,,,,,,,,,,,,,,,
what is on top of us capitol building,The Statue of Freedom,,,,,,,,,,,,,,,,,,,,,,
who made the most free throws in nba history,Karl Malone,,,,,,,,,,,,,,,,,,,,,,
who is the first president to be impeached,Andrew Johnson,Johnson,,,,,,,,,,,,,,,,,,,,,
why does kerosene oil rise up in the wick of lantern,capillary action,,,,,,,,,,,,,,,,,,,,,,
when did the sims 4 toddlers come out,January 2017,"January 12, 2017",the January 2017 patch,,,,,,,,,,,,,,,,,,,,
how many episodes of season 5 of curse of oak island,18,,,,,,,,,,,,,,,,,,,,,,
how many episodes of touching evil are there,16,,,,,,,,,,,,,,,,,,,,,,
hyori bed and breakfast season 2 air date,"February 4, 2018",,,,,,,,,,,,,,,,,,,,,,
if a piece of music is perceived to have changed key then we say the piece has,transposed,transposition,,,,,,,,,,,,,,,,,,,,,
who has the most gold medals in the winter olympics of all time,Norway,,,,,,,,,,,,,,,,,,,,,,
who sings the song let me love you,DJ Snake featuring Justin Bieber,Justin Bieber,Singh H Spot,,,,,,,,,,,,,,,,,,,,
when is the fourth movie of the divergent series coming out,never made,,,,,,,,,,,,,,,,,,,,,,
the cast of don't tell mom the babysitter's dead,Kimmy Robertson,Jeff Bollow,John Getz,Keith Coogan,Joanna Cassidy,Concetta Tomei,Robert Hy Gorman,David Duchovny,Jayne Brook,Eda Reiss Merin,Christopher Pettiet,Dan Castellaneta (voice),Josh Charles,Danielle Harris,Michael Kopelow,Christina Applegate,,,,,,,
the outer layer of the skin that contains no blood or nerve supply is the,epidermis,,,,,,,,,,,,,,,,,,,,,,
who won the battle of the first battle of bull run,Confederate victory,Confederate forces,Confederate,,,,,,,,,,,,,,,,,,,,
which country has the most coastline in the world,Canada,,,,,,,,,,,,,,,,,,,,,,
who won battle of the sexes tennis game,Billie Jean King,,,,,,,,,,,,,,,,,,,,,,
who won in the brown vs board of education case,defendants,,,,,,,,,,,,,,,,,,,,,,
ganglion axons forming the optic nerve run to the,pretectal nucleus,suprachiasmatic nucleus,photoreceptor cells,lateral geniculate nucleus,optic chiasma,,,,,,,,,,,,,,,,,,
when did the word of wisdom become mandatory,February 1834,,,,,,,,,,,,,,,,,,,,,,
element named after fictional planet from which superman came,Kryptonite,,,,,,,,,,,,,,,,,,,,,,
who wrote and performed i can only imagine,Bart Millard,Christian rock band MercyMe,MercyMe,,,,,,,,,,,,,,,,,,,,
what are the active materials of a lead acid battery,Lead,sulfuric acid,Lead and lead dioxide,lead dioxide,,,,,,,,,,,,,,,,,,,
the roman name for a liberal arts education is known as,liberalia studia,artes liberales,,,,,,,,,,,,,,,,,,,,,
who sings you're welcome in moana credits,Dwayne Johnson,Lin-Manuel Miranda,Jordan Fisher,,,,,,,,,,,,,,,,,,,,
who developed the central processing unit (cpu),John von Neumann,,,,,,,,,,,,,,,,,,,,,,
who was kat slater's sisters in eastenders,Zoe,Little Mo,Lynne,,,,,,,,,,,,,,,,,,,,
what is katie running from in safe haven,her abusive husband,,,,,,,,,,,,,,,,,,,,,,
when did they replace lead with graphite in pencils,never contained the element lead,,,,,,,,,,,,,,,,,,,,,,
what started the war between us and japan,attack on Pearl Harbor,,,,,,,,,,,,,,,,,,,,,,
how old is the actress who plays phyllis on y&r,Gina Tognoni,age 44,,,,,,,,,,,,,,,,,,,,,
who wrote the french declaration of the rights of man and of the citizen,General Lafayette,Honoré Mirabeau,Lafayette,Thomas Jefferson,,,,,,,,,,,,,,,,,,,
when does sam realize he is jim in ghost whisperer,Leap of Faith,,,,,,,,,,,,,,,,,,,,,,
what size engine does a 2005 honda civic have,1169 cc,,,,,,,,,,,,,,,,,,,,,,
who won college basketball player of the year,A'ja Wilson,Jalen Brunson,,,,,,,,,,,,,,,,,,,,,
a single period of precession of earth's axis is completed in about,"approximately 26,000 years","26,000 years",,,,,,,,,,,,,,,,,,,,,
locations for the film an englishman who went up a hill,Llanrhaeadr-ym-Mochnant,Llansilin in Powys,,,,,,,,,,,,,,,,,,,,,
rizal finished all the chapters of the novel noli me tangere in,December 1886,Spanish,,,,,,,,,,,,,,,,,,,,,
who sang the superbowl national anthem in 2017,Luke Bryan,,,,,,,,,,,,,,,,,,,,,,
who did the singing in into the woods,the cast,the cast members,,,,,,,,,,,,,,,,,,,,,
which country has won maximum number of gold medal in asian game 2014,China,,,,,,,,,,,,,,,,,,,,,,
which country is the last member of saarc,Afghanistan,,,,,,,,,,,,,,,,,,,,,,
who plays timon in lion king on broadway,Max Casella,,,,,,,,,,,,,,,,,,,,,,
what caused the breakup of the democratic republican party,the disputed 1824 presidential election,,,,,,,,,,,,,,,,,,,,,,
most passing yards in nfl history in a game,Norm Van Brocklin,554,,,,,,,,,,,,,,,,,,,,,
who has won the most college football national champions,Princeton,,,,,,,,,,,,,,,,,,,,,,
what languages are spoken in india the most,Bengali,Telugu,Marathi,Hindi,English,,,,,,,,,,,,,,,,,,
what is the name of the hyena in lion king,Banzai,Shenzi,Ed,,,,,,,,,,,,,,,,,,,,
what is the meaning of the dragon boat festival,commemorating fealty and filial piety,,,,,,,,,,,,,,,,,,,,,,
what was the real name of saudi arabia,the Saudi Arab kingdom,,,,,,,,,,,,,,,,,,,,,,
what is the function of the pericardial sac,Lubricates the heart,,,,,,,,,,,,,,,,,,,,,,
chris cornell she's going to change the world,Can't Change Me,,,,,,,,,,,,,,,,,,,,,,
who played the mad hatter in the batman tv show,Roddy McDowall,David Wayne,Benedict Samuel,,,,,,,,,,,,,,,,,,,,
who played the colorado kid in rio bravo,Ricky Nelson,,,,,,,,,,,,,,,,,,,,,,
other than water what else has hydrogen bonds,inorganic molecules such as water,,,,,,,,,,,,,,,,,,,,,,
where was when we first met netflix filmed,New Orleans,,,,,,,,,,,,,,,,,,,,,,
who was the viceroy when the simon commission visited india,Lord Irwin,,,,,,,,,,,,,,,,,,,,,,
what category was hurricane charley when it hit florida,4,Category 4,Category 4,,,,,,,,,,,,,,,,,,,,
when did the united states host the world cup,1994,,,,,,,,,,,,,,,,,,,,,,
is parallax more pronounced with nearby stars or with distant stars,nearby objects,nearby,,,,,,,,,,,,,,,,,,,,,
when did the us not go to the olympics,The 1980 Summer Olympics,1980,,,,,,,,,,,,,,,,,,,,,
number 4 in roman numerals on clock faces,IV,,,,,,,,,,,,,,,,,,,,,,
when was the last year the eagles went to the superbowl,following the 2017 season,2017,,,,,,,,,,,,,,,,,,,,,
who is the team that beat the eagles this season,Dallas Cowboys,Seattle Seahawks,Kansas City Chiefs,,,,,,,,,,,,,,,,,,,,
when did lionel messi play his first game for barcelona,2002,2001,October 2004,,,,,,,,,,,,,,,,,,,,
who won the super heavyweight gold medal at the 2000 olympics,Audley Harrison,,,,,,,,,,,,,,,,,,,,,,
who turns into a bear in the hobbit,Beorn,,,,,,,,,,,,,,,,,,,,,,
batman the enemy with episode 5 release date,"March 27, 2018",,,,,,,,,,,,,,,,,,,,,,
