,Intent,Query,Param
23,SEND_MESSAGE,Send a message to let Mom know I have to work Sunday,[SL:RECIPIENT 
24,SEND_MESSAGE,Message Charles about the location of the rib place he ate at last week.,[SL:RECIPIENT Charles ] about [SL:CONTENT_EXACT the location of the rib place he ate at last week ] . 
25,PlayMusic,play in every dream home a heartache by vincent paul abbott,in every dream home a heartache vincent paul abbott
26,SEND_MESSAGE,Message Tony and tell him to please pay the electric bill.,[SL:RECIPIENT Tony ] and tell him to [SL:CONTENT_EXACT please pay the electric bill ] . 
27,SEND_MESSAGE,Message Archie asking when he will be home for dinner tonight,[SL:RECIPIENT Archie ] asking [SL:CONTENT_EXACT when he will be home for dinner tonight ] 
28,SEND_MESSAGE,tell my mom that i am taking the dog to the vet,[SL:RECIPIENT 
29,GET_MESSAGE,Would you get me the new messages?,[SL:TAG_MESSAGE new ] messages ? 
30,PlayMusic,play the top ten by andrea del rosario,top ten andrea del rosario
31,PlayMusic,i need some hardcore hip hop,hardcore hip hop
32,PlayMusic,play music from 2015,2015
33,PlayMusic,i would like to hear music from 1993,1993
34,GET_MESSAGE,Can you pull up Saturday's Grammarphiles thread?,[SL:DATE_TIME Saturday ] 's [SL:GROUP Grammarphiles ] thread ? 
35,SEND_MESSAGE,Message Linda to meet me in the lobby bar at 6 pm,[SL:RECIPIENT Linda ] to [SL:CONTENT_EXACT meet me in the lobby bar at 6 pm ] 
36,PlayMusic,play me some max martin on lastfm,max martin lastfm
37,PlayMusic,i need some hardcore hip hop,hardcore hip hop
38,GetWeather,tell me if it will it be windy in grizzled squirrel wildlife sanctuary,windy grizzled squirrel wildlife sanctuary
39,GET_MESSAGE,please look up my chats,
40,SEND_MESSAGE,send a message over to accounting to process the invoice asap,[SL:RECIPIENT accounting ] to [SL:CONTENT_EXACT process the invoice asap ] 
41,GET_MESSAGE,Get the latest video message from Messenger.,[SL:ORDINAL latest ] [SL:TYPE_CONTENT video ] message from [SL:RESOURCE Messenger ] . 
42,SEND_MESSAGE,leave a message with daryl and say 20 dollars should cover it,[SL:RECIPIENT daryl ] and say [SL:CONTENT_EXACT 20 dollars should cover it ] 
43,SEND_MESSAGE,Message Daniel “thanks for being there”,[SL:RECIPIENT Daniel ] “ [SL:CONTENT_EXACT thanks for being there ] ” 
44,GET_MESSAGE,view chats,
45,PlayMusic,play a movement from 1974,movement 1974
46,SEND_MESSAGE,Let Joe know he's welcome to come to the reception at 6pm.,[SL:RECIPIENT Joe ] know [SL:CONTENT_EXACT he 's welcome to come to the reception at 6 pm ] . 
47,PlayMusic,play long way to go by keita tachibana,long way to go keita tachibana
48,GET_MESSAGE,get me my chats,
49,SEND_MESSAGE,Send Brian a message asking if he is up for doing anything later.,[SL:RECIPIENT Brian ] a message asking if [SL:CONTENT_EXACT he is up for doing anything later ] . 
50,PlayMusic,i want to hear a track from the fourties,track fourties
51,SEND_MESSAGE,ask my father when he will get here.,[SL:RECIPIENT 
52,GetWeather,will it be hotter in pruntytown rhode island,hotter pruntytown rhode island
53,GetWeather,is it going to be cold once i get within walking distance of my home in new caledonia,cold within walking distance new caledonia
54,PlayMusic,play some acapella music,acapella
55,GET_MESSAGE,view my chat requests now,
56,GetWeather,what s the weather forecast for oman 2 months from now,oman 2 months from now
57,GetWeather,can you tell me what the weather is like at sam d hamilton noxubee national wildlife refuge,sam d hamilton noxubee national wildlife refuge
58,PlayMusic,play the top of emil de cou,top emil de cou
59,GetWeather,when will the weather be temperate like it is now in stansbury park in tuvalu,temperate now stansbury park tuvalu
60,GetWeather,what is the weather forecast here,here
61,GET_MESSAGE,view my chat requests,
62,PlayMusic,play something from the jonathon lee movement,jonathon lee movement
63,GetWeather,will it be chillier in suwannee,chillier suwannee
64,SEND_MESSAGE,message melanie and see if she's going to the wedding this weekend,[SL:RECIPIENT melanie ] and see if [SL:CONTENT_EXACT she 's going to the wedding this weekend ] 
65,SEND_MESSAGE,Send message to family Don't forget the library fundraiser on July 15th at 7 pm,[SL:RECIPIENT 
66,SEND_MESSAGE,Ask Mary what time the soccer game starts on Sunday.,[SL:RECIPIENT Mary ] [SL:CONTENT_EXACT what time the soccer game starts on Sunday ] . 
67,SEND_MESSAGE,Let Jeff know that the Amtrak is running late.,[SL:RECIPIENT Jeff ] know that [SL:CONTENT_EXACT the Amtrak is running late ] . 
68,PlayMusic,play llegando a casa playlist,llegando a casa
69,SEND_MESSAGE,Tell my cousin to call me,[SL:RECIPIENT 
70,GetWeather,what will the weather be in one minute in tanzania,in one minute tanzania
71,GetWeather,what will the weather be like in india at 02:55:25 am,india 02:55:25 am
72,GetWeather,what s the weather faraway from here on sep the fifteenth,faraway here sep the fifteenth
73,SEND_MESSAGE,Message work asking what time my shift starts today,[SL:RECIPIENT 
74,GetWeather,what is the weather forecast in country club heights,country club heights
75,SEND_MESSAGE,Let Susan know we are going to meet at the library for the fundraiser at 5pm,[SL:RECIPIENT Susan ] know [SL:CONTENT_EXACT we are going to meet at the library for the fundraiser at 5 pm ] 
76,SEND_MESSAGE,"Tell Kim I'm running early and can stop by the store on my way to her house, and still get there by noon.","[SL:RECIPIENT Kim ] [SL:CONTENT_EXACT I'm running early and can stop by the store on my way to her house , and still get there by noon ] . "
77,SEND_MESSAGE,Tell Anna we are leaving at 6 for the concert.,[SL:RECIPIENT Anna ] [SL:CONTENT_EXACT we are leaving at 6 for the concert ] . 
78,PlayMusic,play some music by beverley martyn,beverley martyn
79,GetWeather,tell me when it ll be sunny in ralls marshall islands,sunny ralls marshall islands
80,PlayMusic,play me a concerto by jethro burns from zvooq,concerto jethro burns zvooq
81,SEND_MESSAGE,Message Nana that we have arrived,[SL:RECIPIENT 
82,GET_MESSAGE,Display messages in high school reunion thread,[SL:GROUP high school reunion ] thread 
83,SEND_MESSAGE,Ask Beth when she'll be at the house.,[SL:RECIPIENT Beth ] [SL:CONTENT_EXACT when she'll be at the house ] . 
84,SEND_MESSAGE,Ask the venue if tickets are still available for the band on Friday night,[SL:RECIPIENT the venue ] if [SL:CONTENT_EXACT tickets are still available for the band on Friday night ] 
85,PlayMusic,play the album everybody happy by lee aaron,album everybody happy lee aaron
86,SEND_MESSAGE,Message my cousin Holly that our eta will be delayed due to the river flooding over the road,[SL:RECIPIENT 
87,PlayMusic,play paula campbell music from 1993,paula campbell 1993
88,PlayMusic,play some 1993 concerto off of slacker,1993 concerto slacker
89,GET_MESSAGE,I wanna see my messages,
90,GET_MESSAGE,proceed with reading the message,
91,SEND_MESSAGE,Send a message to Andy seeing how his interview went.,[SL:RECIPIENT Andy ] seeing [SL:CONTENT_EXACT how his interview went ] . 
92,SEND_MESSAGE,Message my sister and ask how many guests can I bring to the wedding.,[SL:RECIPIENT 
93,PlayMusic,play yo ho from the new york pops on youtube,yo ho the new york pops youtube
94,SEND_MESSAGE,tell laura to turn right after fairfax avenue to get to the $5 parking lot,[SL:RECIPIENT laura ] to [SL:CONTENT_EXACT turn right after fairfax avenue to get to the $ 5 parking lot ] 
95,PlayMusic,play some twenties music on iheart,twenties iheart
96,PlayMusic,play eighties track,eighties track
97,SEND_MESSAGE,Ask Lauren when she will be home,[SL:RECIPIENT Lauren ] [SL:CONTENT_EXACT when she will be home ] 
98,SEND_MESSAGE,Message Mason to meet in the lobby,[SL:RECIPIENT Mason ] to [SL:CONTENT_EXACT meet in the lobby ] 
99,GetWeather,will it be warmer in flag,warmer flag
100,PlayMusic,play some nineties chant music from nicoleta nicola,nineties chant nicoleta nicola
101,SEND_MESSAGE,Advise Henry I'll be there at 5pm,[SL:RECIPIENT Henry ] [SL:CONTENT_EXACT I'll be there at 5 pm ] 
102,SEND_MESSAGE,message Fran to bring her hat and sunscreen it is going to be hot hot hot,[SL:RECIPIENT Fran ] to [SL:CONTENT_EXACT bring her hat and sunscreen it is going to be hot hot hot ] 
103,PlayMusic,play my sophisticated dinner playlist on slacker,sophisticated dinner slacker
104,GET_MESSAGE,Had Grandma texted me at all?,[SL:SENDER 
105,PlayMusic,play the greatest soundtrack by jesse harms,greatest soundtrack jesse harms
106,GET_MESSAGE,display chat requests,
107,GetWeather,what s the weather going to be in yemen in one minute,yemen in one minute
108,SEND_MESSAGE,Send a message to Marilyn to meet me at the Surgery Center right away.,[SL:RECIPIENT Marilyn ] to [SL:CONTENT_EXACT meet me at the Surgery Center right away ] . 
109,GetWeather,will it be windy in mission bay ak today,windy mission bay ak today
110,GET_MESSAGE,bring up chats now,
111,GetWeather,what is the currituck national wildlife refuge forecast for chilly conditions,currituck national wildlife refuge chilly
112,GetWeather,is it cold in pw,cold pw
113,PlayMusic,play any sixties song,sixties song
114,GetWeather,when will it be hot in millvale,hot millvale
115,PlayMusic,i want to hear some music from spotify,spotify
116,SEND_MESSAGE,message lisa and tell her that i will be a character reference,[SL:RECIPIENT lisa ] and tell her that [SL:CONTENT_EXACT i will be a character reference ] 
117,GetWeather,is it forecast to be hot in greenland this winter,hot greenland this winter
118,PlayMusic,play some sonu niigaam from the fifties,sonu niigaam fifties
119,GetWeather,can you give me weather details for my current spot,current spot
120,GetWeather,forecast for my current location at 6,current location 6
121,PlayMusic,play some acapella music on iheart,acapella iheart
122,GetWeather,what is the weather in silver springs western sahara,silver springs western sahara
123,GetWeather,what will the weather be on april 9 2037 in new brunswick botanical garden,april 9 2037 new brunswick botanical garden
124,PlayMusic,play music from 2011,2011
125,PlayMusic,play the album qr iii by bobby bare,album qr iii bobby bare
126,PlayMusic,play hættuleg hljómsveit & glæpakvendið stella by kaori iida,hættuleg hljómsveit & glæpakvendið stella kaori iida
127,GetWeather,tell me if it ll be chillier now in engadine,chillier now engadine
128,GetWeather,is there a blizzard in tennessee colony ks,blizzard tennessee colony ks
129,GetWeather,what will the weather be in albania at 11:56,albania 11:56
130,GetWeather,what s the weather like in boca raton ia,boca raton ia
131,PlayMusic,play some music from 1995,1995
132,GetWeather,what are the weather conditions in noel,noel
133,GetWeather,how s the weather going to be at fourteen o clock in falkland islands,fourteen o clock falkland islands
134,SEND_MESSAGE,Ask Bella if she needs any gas?,[SL:RECIPIENT Bella ] if [SL:CONTENT_EXACT she needs any gas ] ? 
135,SEND_MESSAGE,send a message to tom to find out what time dinner is,[SL:RECIPIENT tom ] to find out [SL:CONTENT_EXACT what time dinner is ] 
136,SEND_MESSAGE,Message Carlos and ask him what was up his wife last Saturday.,[SL:RECIPIENT Carlos ] and ask him [SL:CONTENT_EXACT what was up his wife last Saturday ] . 
137,GET_MESSAGE,Get the messages in the English class group,[SL:GROUP English class ] group 
138,SEND_MESSAGE,"Text June and let her know the Puppy Placement event is July 10th, starting at 2 pm","[SL:RECIPIENT June ] and let her know [SL:CONTENT_EXACT the Puppy Placement event is July 10th , starting at 2 pm ] "
139,GET_MESSAGE,Please display my messages,
140,GetWeather,will it be sunny on june 1 2021 in bathgate,sunny june 1 2021 bathgate
141,SEND_MESSAGE,Message John to see what time the baseball game starts tonight,[SL:RECIPIENT John ] to see [SL:CONTENT_EXACT what time the baseball game starts tonight ] 
142,GET_MESSAGE,begin my chat requests,
143,GetWeather,will it be colder this autumn in wren saint martin,colder this autumn wren saint martin
144,PlayMusic,can you play the newest record from 1966 by tony lee,newest record 1966 tony lee
145,PlayMusic,can you play something off johan larsson s travelers and thieves,johan larsson travelers and thieves
146,SEND_MESSAGE,Message Tim asking if he has found my wallet at his house,[SL:RECIPIENT Tim ] asking if [SL:CONTENT_EXACT he has found my wallet at his house ] 
147,PlayMusic,can you play a top song from a chyi chin concerto,top song chyi chin concerto
148,PlayMusic,i want to hear nokko s songs from the twenties,nokko twenties
149,SEND_MESSAGE,Send Chris a message asking him if he wants to play pool this weekend.,[SL:RECIPIENT Chris ] a message asking him if [SL:CONTENT_EXACT he wants to play pool this weekend ] . 
150,PlayMusic,play something by chris knight,chris knight
151,GetWeather,will it snow on apr eighteenth 2029 in myanmar,snow apr eighteenth 2029 myanmar
152,PlayMusic,open youtube and play nanana from massimo altomare,youtube nanana massimo altomare
153,SEND_MESSAGE,send a text to Jeff to see if he's coming in today,[SL:RECIPIENT Jeff ] to see if [SL:CONTENT_EXACT he 's coming in today ] 
154,PlayMusic,play slacker tunes by smog from movement in 2015,slacker smog movement 2015
155,SEND_MESSAGE,Send a message to Ashley reminding him to meet me for my counseling session in his office tomorrow.,[SL:RECIPIENT Ashley ] reminding him to [SL:CONTENT_EXACT meet me for my counseling session in his office tomorrow ] . 
156,PlayMusic,have zvooq play songs from the fifties,zvooq fifties
157,GET_MESSAGE,Find the messages Nancy Stevens sent me,[SL:SENDER Nancy Stevens ] sent [SL:RECIPIENT me ] 
158,SEND_MESSAGE,Let Jessica know I will be there by 5,[SL:RECIPIENT Jessica ] know [SL:CONTENT_EXACT I will be there by 5 ] 
159,GetWeather,what will the weather be for hooksett,hooksett
160,PlayMusic,play newest soundtrack from 2008,newest soundtrack 2008
161,SEND_MESSAGE,Message my boyfriend asking if he wants to go on a weekend trip to Chicago,[SL:RECIPIENT 
162,GET_MESSAGE,Read messages in Line,[SL:RESOURCE Line ] 
163,GET_MESSAGE,view chat requests,
164,GetWeather,what is the forecast for the wildreservaat ithala in the distant future will it be colder,wildreservaat ithala distant colder
165,GetWeather,what s the weather in organ pipe cactus national monument,organ pipe cactus national monument
166,GetWeather,will it rain in deersville,rain deersville
167,GetWeather,what s it like in my current location,current location
168,GET_MESSAGE,Did I get any new messages in the past hour?,[SL:RECIPIENT I ] get any [SL:TAG_MESSAGE new ] messages [SL:DATE_TIME in the past hour ] ? 
169,SEND_MESSAGE,Message Janie and see what's up,[SL:RECIPIENT Janie ] and see [SL:CONTENT_EXACT what 's up ] 
170,SEND_MESSAGE,Message mom asking when her flight gets in,[SL:RECIPIENT 
171,GET_MESSAGE,Show me today's messages,[SL:DATE_TIME today ] 's messages 
172,SEND_MESSAGE,Send message to Fred that 11 am is the time of the appointment,[SL:RECIPIENT Fred ] that [SL:CONTENT_EXACT 11 am is the time of the appointment ] 
173,PlayMusic,play that stubborn kinda fellow by michael amott,that stubborn kinda fellow michael amott
174,GetWeather,what s the weather like in wyandotte netherlands antilles,wyandotte netherlands antilles
175,SEND_MESSAGE,send a message to Tony and remind him that JIms birthday is tomorrow,[SL:RECIPIENT Tony ] and remind him that [SL:CONTENT_EXACT JIms birthday is tomorrow ] 
176,GetWeather,will it be warm neighboring here in whitehouse,warm neighboring here whitehouse
177,SEND_MESSAGE,Send a message to Heidi to bring 6 lbs of bacon to the Pancake fundraiser.,[SL:RECIPIENT Heidi ] to [SL:CONTENT_EXACT bring 6 lbs of bacon to the Pancake fundraiser ] . 
178,SEND_MESSAGE,send a message saying hi to mo,[SL:CONTENT_EXACT hi ] to [SL:RECIPIENT mo ] 
179,GetWeather,what s the weather forecast for my current spot,current spot
180,SEND_MESSAGE,Send a message to Jason that the library is 2 blocks up from the park.,[SL:RECIPIENT Jason ] that [SL:CONTENT_EXACT the library is 2 blocks up from the park ] . 
181,SEND_MESSAGE,Send message to Dick letting him know I won't be able to get him in at the event.,[SL:RECIPIENT Dick ] letting him know [SL:CONTENT_EXACT I won't be able to get him in at the event ] . 
182,GetWeather,will there be a snowstorm this weekend in bear river arizona,snowstorm weekend bear river arizona
183,SEND_MESSAGE,Can you tell Samantha I will be at the park on 5th street in 30 minutes with the address,[SL:RECIPIENT Samantha ] [SL:CONTENT_EXACT I will be at the park on 5th street in 30 minutes ] with the address 
184,SEND_MESSAGE,message kids aunt kay is out of hospital,[SL:RECIPIENT 
185,SEND_MESSAGE,"Message Michael, that the Super Bowl party will start promptly at 4:00.","[SL:RECIPIENT Michael ] , that [SL:CONTENT_EXACT the Super Bowl party will start promptly at 4 : 00 ] . "
186,SEND_MESSAGE,Communicate with Danny an let him know to meet me at the bar at 10pm,[SL:RECIPIENT Danny ] an let him know to [SL:CONTENT_EXACT meet me at the bar at 10 pm ] 
187,GetWeather,what s the weather 1 minute from now in mount nimba strict nature reserve,1 minute from now mount nimba strict nature reserve
188,GET_MESSAGE,Get new texts.,[SL:TAG_MESSAGE new ] texts . 
189,GET_MESSAGE,would you pull up chat requests,
190,GetWeather,what is the weather forecast in nine months within walking distance of ohio,in nine months within walking distance ohio
191,GetWeather,what s the weather in twenty five days in hagerman national wildlife refuge,in twenty five days hagerman national wildlife refuge
192,PlayMusic,play ambient music,ambient
193,PlayMusic,play a new tune by louis silvers,new tune louis silvers
194,SEND_MESSAGE,Send message to office cleaning lady she will not need to come in tomorrow morning.,[SL:RECIPIENT office cleaning lady ] [SL:CONTENT_EXACT she will not need to come in tomorrow morning ] . 
195,PlayMusic,play a 1958 soundtrack by rudolf schenker on netflix,1958 soundtrack rudolf schenker netflix
196,GetWeather,will it get cold in nevada seven weeks and a half from now,cold nevada seven weeks and a half from now
197,SEND_MESSAGE,Send a message to Genny telling her to cancel the reservations for Tim's party tomorrow.,[SL:RECIPIENT Genny ] telling her to [SL:CONTENT_EXACT cancel the reservations for Tim 's party tomorrow ] . 
198,PlayMusic,play good classified songs on vimeo,good classified vimeo
199,GetWeather,will it get warmer in czechia,warmer czechia
200,GetWeather,tell me the weather forecast 1 hour from now for town west nevada,1 hour from now town west nevada
201,PlayMusic,play miami 2017 by rodney whitaker,miami 2017 rodney whitaker
202,GET_MESSAGE,Can you read me my chat requests please,
203,PlayMusic,play top-50 eighties theme from alain caron,top-50 eighties theme alain caron
204,PlayMusic,use google music to play some songs by dr john,google music dr john
205,GetWeather,is it freezing this evening in maunabo united states,freezing evening maunabo united states
206,GetWeather,what is the forecast for temperate weather in bellechester,temperate bellechester
207,PlayMusic,proceed with music from 2003,2003
208,GET_MESSAGE,can you show me chats,
209,SEND_MESSAGE,Message Dale that he left his phone at my house.,[SL:RECIPIENT Dale ] that [SL:CONTENT_EXACT he left his phone at my house ] . 
210,PlayMusic,play sunshine reggae on youtube,sunshine reggae youtube
211,PlayMusic,play a seventies ballad by annunzio paolo mantovani on groove shark,seventies ballad annunzio paolo mantovani groove shark
212,GET_MESSAGE,launch chats,
213,PlayMusic,play music from 2016,2016
214,GET_MESSAGE,Show me new messages,[SL:TAG_MESSAGE new ] messages 
215,GetWeather,what was the weather last february in william a switzer provincial park,last february william a switzer provincial park
216,SEND_MESSAGE,Send Tim a message and ask if he can send me directions to the wedding venue.,[SL:RECIPIENT Tim ] a message and ask if [SL:CONTENT_EXACT he can send me directions to the wedding venue ] . 
217,GetWeather,what s the weather like in boca raton ia,boca raton ia
218,PlayMusic,i want to listen to merrily we roll along by marko desantis,merrily we roll along marko desantis
219,GetWeather,will there be a snowstorm around eight pm in reed island state park,snowstorm eight pm reed island state park
220,GetWeather,is it going to be warm here for brunch,warm here brunch
221,PlayMusic,play me a bluegrass song,bluegrass song
222,PlayMusic,play music by cass elliot,cass elliot
223,GetWeather,give me the forecast for feb eleventh 2034 far from alaska,feb eleventh 2034 far alaska
224,GET_MESSAGE,Show my chats from Skype,[SL:RESOURCE Skype ] 
225,SEND_MESSAGE,Message Henry asking if he has next Saturday available to meet for coffee,[SL:RECIPIENT Henry ] asking if [SL:CONTENT_EXACT he has next Saturday available to meet for coffee ] 
226,GET_MESSAGE,Can you show me my new message from Facebook?,[SL:TAG_MESSAGE new ] message from [SL:RESOURCE Facebook ] ? 
227,PlayMusic,can you play some synthpop music on youtube,synthpop youtube
228,SEND_MESSAGE,Message Sam and see if she still wants the baby clothes.,[SL:RECIPIENT Sam ] and see if [SL:CONTENT_EXACT she still wants the baby clothes ] . 
229,SEND_MESSAGE,Forward my video message to Jim.,[SL:TYPE_CONTENT video ] message to [SL:RECIPIENT Jim ] . 
230,GetWeather,what is the weather forecast in the country of chile fifteen hours from now,chile fifteen hours from now
231,SEND_MESSAGE,Make a video message for Carl for his birthday.,[SL:TYPE_CONTENT video ] message for [SL:RECIPIENT Carl ] for his birthday . 
232,GetWeather,is temperature in hanksville freezing,hanksville freezing
233,PlayMusic,play a melody by avery storm,melody avery storm
234,PlayMusic,put on vimeo and play kacapi suling,vimeo kacapi suling
235,PlayMusic,open netflix and play david frizzell,netflix david frizzell
236,SEND_MESSAGE,Message Ed to bring the water bottles to the picnic.,[SL:RECIPIENT Ed ] to [SL:CONTENT_EXACT bring the water bottles to the picnic ] . 
237,GetWeather,what is the weather forecast for minnesota,minnesota
238,PlayMusic,play music from 2012 on google music,2012 google music
239,GetWeather,will there be sun in the manassas national battlefield park,sun manassas national battlefield park
240,GET_MESSAGE,would you pull up chat requests please,
241,SEND_MESSAGE,Message Tony and tell him he better be on time.,[SL:RECIPIENT Tony ] and tell him [SL:CONTENT_EXACT he better be on time ] . 
242,GetWeather,will it be overcast in 1 minute within walking distance of oh,overcast in 1 minute within walking distance oh
243,SEND_MESSAGE,Ask my husband if he let the dog out before he left.,[SL:RECIPIENT 
244,PlayMusic,can you play an ep from the year 1958,ep 1958
245,SEND_MESSAGE,record a video message,[SL:TYPE_CONTENT video ] message 
246,SEND_MESSAGE,send a message to Seyla to let the squad know there's a rave going down @ the new place,[SL:RECIPIENT Seyla ] to [SL:CONTENT_EXACT let the squad know there 's a rave going down @ the new place ] 
247,PlayMusic,play music from the playlist late night jazz,late night jazz
248,GET_MESSAGE,check chats,
249,PlayMusic,play prints in the stone by helen baylor,prints in the stone helen baylor
250,PlayMusic,play some armik from the fourties,armik fourties
251,GetWeather,what is the forecast for the current spot for cloudy conditions,current spot cloudy
252,PlayMusic,can you play maggie mae on netflix,maggie mae netflix
253,SEND_MESSAGE,Tell Lori that I will be at her house after dinner on Friday night.,[SL:RECIPIENT Lori ] that [SL:CONTENT_EXACT I will be at her house after dinner on Friday night ] . 
254,GetWeather,check the weather forecast for sappho,sappho
255,SEND_MESSAGE,Message Reggie to ask him what time he will arrive.,[SL:RECIPIENT Reggie ] to ask him [SL:CONTENT_EXACT what time he will arrive ] . 
256,SEND_MESSAGE,message Vikram saying All the best for your exam,[SL:RECIPIENT Vikram ] saying [SL:CONTENT_EXACT All the best for your exam ] 
257,SEND_MESSAGE,Tell JJ I won't be able to make it due to the snow conditions.,[SL:RECIPIENT JJ ] [SL:CONTENT_EXACT I won't be able to make it due to the snow conditions ] . 
258,GetWeather,will it be nice in reager mp,reager mp
259,SEND_MESSAGE,Let Lisa know that I will be five minutes late to the restaurant due to current traffic conditions,[SL:RECIPIENT Lisa ] know that [SL:CONTENT_EXACT I will be five minutes late to the restaurant due to current traffic conditions ] 
260,SEND_MESSAGE,Message Katie to see if she wants to go to the bounce houses at the gym,[SL:RECIPIENT Katie ] to see if [SL:CONTENT_EXACT she wants to go to the bounce houses at the gym ] 
261,SEND_MESSAGE,Send Mom a message.,[SL:RECIPIENT 
262,SEND_MESSAGE,Message Daniel and tell him I want to meet up at Juliet,[SL:RECIPIENT Daniel ] and tell him [SL:CONTENT_EXACT I want to meet up at Juliet ] 
263,GET_MESSAGE,What texts do I have in Book club?,[SL:GROUP Book club ] ? 
264,GetWeather,is there snowfall in hineston new hampshire,snowfall hineston new hampshire
265,GetWeather,is it snowy in demotte ms,snowy demotte ms
266,PlayMusic,play music by sarah connor,sarah connor
267,SEND_MESSAGE,Please send a message to Rick that I plan to be at his house on Breezewood Rd. at 3:30.,[SL:RECIPIENT Rick ] that [SL:CONTENT_EXACT I plan to be at his house on Breezewood Rd . at 3 : 30 ] . 
268,GET_MESSAGE,Read me the messages between my mother and I this last week.,[SL:SENDER 
269,SEND_MESSAGE,Text my sister and ask her where did she put my brush.,[SL:RECIPIENT 
270,PlayMusic,i want to hear some boris grebenchtchikov on zvooq,boris grebenchtchikov zvooq
271,SEND_MESSAGE,Remind John that the movie premiere at 7 downtown.,[SL:RECIPIENT John ] that [SL:CONTENT_EXACT the movie premiere at 7 downtown ] . 
272,SEND_MESSAGE,Message Elizabeth that I will take her to the Halie's birthday party on Sunday,[SL:RECIPIENT Elizabeth ] that [SL:CONTENT_EXACT I will take her to the Halie 's birthday party on Sunday ] 
273,SEND_MESSAGE,Message Sue and tell her I'm right around the corner.,[SL:RECIPIENT Sue ] and tell her [SL:CONTENT_EXACT I'm right around the corner ] . 
274,PlayMusic,i d like to listen to iheart radio s chill out playlist please,iheart chill out
275,GetWeather,weather for carlisle gardens as,carlisle gardens as
276,GET_MESSAGE,find me chat requests please,
277,SEND_MESSAGE,Send a message to Father John and ask him for the address to his church,[SL:RECIPIENT Father John ] and ask him for [SL:CONTENT_EXACT the address to his church ] 
278,SEND_MESSAGE,send a message to Mark and tell him that there will be a big party at my Brandon's house tomorrow.,[SL:RECIPIENT Mark ] and tell him that [SL:CONTENT_EXACT there will be a big party at my Brandon 's house tomorrow ] . 
279,SEND_MESSAGE,Message Tyson and ask him for directions to his office in Colleyville,[SL:RECIPIENT Tyson ] and ask him for [SL:CONTENT_EXACT directions to his office in Colleyville ] 
280,GetWeather,will there be a storm faraway from chapman ranch,storm faraway chapman ranch
281,SEND_MESSAGE,Tell Missy we will be attending the triathlon this weekend.,[SL:RECIPIENT Missy ] [SL:CONTENT_EXACT we will be attending the triathlon this weekend ] . 
282,GET_MESSAGE,i want to view chats,
283,SEND_MESSAGE,Send a message to Rosanne asking if the rain has stopped at our house,[SL:RECIPIENT Rosanne ] asking if [SL:CONTENT_EXACT the rain has stopped at our house ] 
284,PlayMusic,play music from 2007,2007
285,GetWeather,can you tell me the forecast for east falmouth hungary,east falmouth hungary
286,GET_MESSAGE,Retrieve my chats.,
