index,query,ExclamationMark,QuestionMark,countWords,countChars,how,when,where,what,whose,which,why,who,count am-is-are,count stop words,PERSON,ORG,GPE,DATE,count music common,count weather common,count get common,count send common,VRB,ADJ,NON,common_t_g,common_s_p_m_t,output
54,Message my grandma and ask her if she wants me to bring something to dinner.,0,0,15,76,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,3,0,4,0,1,SEND_MESSAGE
55,tell my boyfriend to meet for drinks at Outback tonight,0,0,10,55,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,4,1,1,SEND_MESSAGE
56,will it be windy at two pm in france,0,0,9,36,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,2,0,2,0,0,GetWeather
57,let joanne know that I expect to be at her house by 1 pm so please  be ready,0,0,19,76,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,3,5,3,3,0,0,SEND_MESSAGE
58,who holds the major league baseball career hits record,0,0,9,54,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,5,0,0,SEARCH
59,when did amnesia the dark descent come out,0,0,8,42,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,1,0,0,SEARCH
60,on 2/25/2025 will it be hot in holstein,0,0,8,39,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,1,0,0,1,1,1,0,0,GetWeather
61,season 2 this is us number of episodes,0,0,8,38,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,3,0,0,SEARCH
62,what causes the ocean tides to rise and fall,0,0,9,44,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,SEARCH
63,when does season 8 of shameless come back,0,0,8,41,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,1,2,0,0,SEARCH
64,nigeria change from left to right hand drive,0,0,8,44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,3,0,0,SEARCH
65,Hurry and message my girlfriend so she knows that the book club meeting is at our house tommorow night at 11.,0,0,21,109,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,1,3,1,8,0,1,SEND_MESSAGE
66,Text Mom and tell her Ill be at the show Next Thursday,0,0,12,54,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,2,0,6,1,1,SEND_MESSAGE
67,message Mary to see if meeting is cancelled,0,0,8,43,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,3,0,2,SEND_MESSAGE
68,what is the forecast for papua new guinea for lunch for rainfall,0,0,12,64,0,0,0,1,0,0,0,0,1,6,0,0,1,0,0,1,1,0,1,2,4,0,0,GetWeather
69,Message Tom and tell him to meet me at 4th and Cherry,0,0,12,53,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1,2,0,3,1,2,SEND_MESSAGE
70,when does the new saw 8 come out,0,0,8,32,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,1,1,0,0,SEARCH
71,message family that im ok,0,0,5,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,SEND_MESSAGE
72,Please send the message 'Happy Birthday' to Jeanie,0,0,8,50,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,4,0,1,SEND_MESSAGE
73,Please send a message to Laura and ask her where the best place to park is that's closest to the theater Saturday night.,0,0,23,120,0,0,1,0,0,0,0,0,1,10,1,0,0,1,0,1,0,2,4,2,8,0,1,SEND_MESSAGE
74,when was the temple of venus and roma built,0,0,9,43,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,4,0,0,SEARCH
75,Any video messages from the Dubrovnik group?,0,1,7,44,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,1,GET_MESSAGE
76,tell me the weather forecast for equatorial guinea,0,0,8,50,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,1,1,3,1,1,GetWeather
77,i want to hear this is the night from proof,0,0,10,43,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,3,0,3,0,0,PlayMusic
78,send a follow-up message to mike to see if he's in town this weekend,0,0,14,68,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,1,4,1,3,0,2,SEND_MESSAGE
79,what channel is big 10 network on fios,0,0,8,38,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,1,3,0,0,SEARCH
80,who played junior on in the heat of the night,0,0,10,45,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,3,0,0,SEARCH
81,message joey to see if he has plans for the 4th of july,0,0,13,55,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,2,0,4,0,2,SEND_MESSAGE
82,what does the c stand for chrysler 300c,0,0,8,39,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,3,0,0,SEARCH
83,what s the weather in paris,0,0,6,27,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,0,0,1,0,2,0,0,GetWeather
84,what was the most important new religious figure of the new kingdom of ancient egypt,0,0,15,84,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,2,0,1,5,4,0,0,SEARCH
85,Send message to my assistant to cancel my meetings today because of road closure,0,0,14,80,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,1,1,6,0,1,SEND_MESSAGE
86,Read Anthony's text to me this morning,0,0,7,38,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,GET_MESSAGE
87,who was the famous scientist that ran the research lab moseley went to in manchester,0,0,15,84,0,0,0,0,0,0,0,1,0,7,1,0,1,0,0,0,0,0,3,1,4,0,0,SEARCH
88,play the theme music from 1963 by yuki koyanagi,0,0,9,47,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,1,0,4,0,0,PlayMusic
89,play a tune by layne staley,0,0,6,27,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,3,0,0,PlayMusic
90,i d like to hear cry baby cry by ally kerr,0,0,11,42,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,2,1,5,0,0,PlayMusic
91,what s the humidity right now in aguila,0,0,8,39,0,0,0,1,0,0,0,0,1,5,0,1,0,0,0,0,0,0,1,2,2,0,0,GetWeather
92,the most common form of megalithic architecture in europe is,0,0,10,60,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,3,3,0,0,SEARCH
93,Message Chris to tell him the party has been cancelled.,0,0,10,55,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,4,0,3,1,2,SEND_MESSAGE
94,send Chris a message that I'm running late for the meeting,0,0,11,58,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,3,1,3,0,1,SEND_MESSAGE
95,Message Jen and ask if she has plans for this weekend.,0,0,11,54,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,1,2,0,4,0,1,SEND_MESSAGE
96,SEND A MESSAGE TO SEBRINA ASKING IF SHE'S GOING TO HELP ME OR NOT,0,0,14,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,12,1,2,SEND_MESSAGE
97,play crazy=genius by the alchemist,0,0,5,34,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,3,0,0,PlayMusic
98,when did boston last win the world series,0,0,8,41,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,1,2,0,0,SEARCH
99,Send a message to Tiff asking if she can meet us at the Olive Garden at 6pm tonight.,0,0,18,84,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,2,3,0,5,0,1,SEND_MESSAGE
100,Message Judy we need plastic utensils for the meal,0,0,9,50,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,4,0,1,SEND_MESSAGE
101,who is the owner of phoenix mall in chennai,0,0,9,43,0,0,0,0,0,0,0,1,1,5,0,0,2,0,0,0,0,0,1,0,4,0,0,SEARCH
102,Message Mark that the poetry reading will be at the library Saturday afternoon.,0,0,13,79,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,1,6,0,1,SEND_MESSAGE
103,send a message to Ronnie saying I'm on my way,0,0,10,45,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,3,0,3,0,1,SEND_MESSAGE
104,Message mom saying that remember to brink sun screen,0,0,9,52,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,5,0,1,SEND_MESSAGE
105,what song did the titanic band play when it sank,0,0,10,48,0,1,0,1,0,0,0,0,0,5,0,1,0,0,2,0,0,0,2,0,4,0,0,SEARCH
106,a good that can be used in place of another good,0,0,11,48,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2,1,0,0,SEARCH
107,what is forecast in keyes summit in new mexico at 3 pm,0,0,12,54,0,0,0,1,0,0,0,0,1,5,0,0,2,0,0,2,1,0,2,2,3,0,0,GetWeather
108,who plays chummy's mother in call the midwife,0,0,8,45,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,4,0,0,SEARCH
109,actress who played camille in death in paradise,0,0,8,47,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,4,0,0,SEARCH
110,play some sonu niigaam from the fifties,0,0,7,39,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,1,2,0,0,PlayMusic
111,when was the last time michigan basketball won the championship,0,0,10,63,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,3,1,3,0,0,SEARCH
112,what nqf level is a master's degree,0,0,7,35,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,3,0,0,SEARCH
113,play music from 2015,0,0,4,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,PlayMusic
114,who won the american league pennant in 2017,0,0,8,43,0,0,0,0,0,0,0,1,0,4,0,1,0,1,0,0,0,0,1,1,2,0,0,SEARCH
115,is it supposed to be chilly in boiling spring lakes,0,0,10,51,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,4,1,2,0,0,GetWeather
116,where does us highway 1 start and end,0,0,8,37,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,2,0,2,0,0,SEARCH
117,send happy birthday message to jaclyn,0,0,6,37,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,2,0,1,SEND_MESSAGE
118,what river flows through charleston west virginia’s capital,0,0,8,59,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,5,0,0,SEARCH
119,where did you go to drink during prohibition,0,0,8,44,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,SEARCH
120,check the weather for eagle harbor tanzania,0,0,7,43,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,3,0,0,GetWeather
121,play something by louis nelson delisle,0,0,6,38,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,4,0,0,PlayMusic
122,who's the voice of phil phillips in the happytime murders,0,0,10,57,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,1,1,4,0,0,SEARCH
123,What new messages are there in League of Legends thread?,0,1,10,56,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,1,0,1,2,4,0,1,GET_MESSAGE
124,who sang it must have been love but its over now,0,0,11,48,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,3,2,0,0,0,SEARCH
125,is it warm at seven am in greenland,0,0,8,35,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,1,0,0,2,1,1,0,0,GetWeather
126,who sings two pints of lager and a packet of crisps,0,0,11,51,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,SEARCH
127,what s the forecast for georgia,0,0,6,31,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,0,0,1,0,2,0,0,GetWeather
128,Ask Ken if he took the dog out this morning.,0,0,10,44,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,4,0,0,SEND_MESSAGE
129,play my hardstyle baby playlist on netflix,0,0,7,42,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,1,2,2,0,0,PlayMusic
130,play me a mario vazquez movement,0,0,6,32,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,3,0,0,PlayMusic
131,is there a storm here,0,0,5,21,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,1,0,0,GetWeather
132,when did the soviet union start and end,0,0,8,39,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,1,1,3,0,0,SEARCH
133,who was the first black person to register to vote,0,0,10,50,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,3,2,1,0,0,SEARCH
134,play a melody by colin blunstone,0,0,6,32,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,3,0,0,PlayMusic
135,Tell Jo I will be on time.,0,0,7,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,1,1,SEND_MESSAGE
136,play the best music by arthur johnston,0,0,7,38,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,1,3,0,0,PlayMusic
137,Message Micah to see if he is still going to Ulfheim concert,0,0,12,60,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,3,1,4,1,3,SEND_MESSAGE
138,who decides whether expert witnesses can testify in court,0,0,9,57,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,1,2,0,0,SEARCH
139,I am going to the Food Warehouse in a few hours so send Don a message asking what food he would like me to get,0,0,25,110,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,1,0,2,5,3,6,1,2,SEND_MESSAGE
140,where did the french immigrants settle in texas,0,0,8,47,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,1,2,0,0,SEARCH
141,message gwen that I love the present she sent me,0,0,10,48,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,2,1,2,0,1,SEND_MESSAGE
142,Message Reggie to ask him what time he will arrive.,0,0,10,51,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,2,2,0,3,0,1,SEND_MESSAGE
143,what is the weather going to be at dinner time in the lake le-aqua-na state recreation area,0,0,17,91,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,3,0,2,3,3,5,1,1,GetWeather
144,Help me make and send a video message for the open casting call.,0,0,13,64,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,3,1,4,0,1,SEND_MESSAGE
145,will it be warm neighboring here in whitehouse,0,0,8,46,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,2,2,1,0,0,GetWeather
146,weather at stanford at six am,0,0,6,29,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,1,0,2,0,0,GetWeather
147,is it hot in wind ridge guam,0,0,7,28,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,1,1,3,0,0,GetWeather
148,progress in neuropsychopharmacology & biological psychiatry impact factor,0,0,8,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,SEARCH
149,what is the name of the main artery which takes blood from the heart to the body,0,0,17,80,0,0,0,1,0,1,0,0,1,10,0,0,0,0,0,0,0,0,2,1,5,0,0,SEARCH
150,forecast for vi,0,0,3,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,GetWeather
151,Text Amaya and ask her when does the pool open for good.,0,0,12,56,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,2,2,3,0,0,SEND_MESSAGE
152,play in every dream home a heartache by vincent paul abbott,0,0,11,59,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,7,0,0,PlayMusic
153,Message my aunt Debbie and tell her I got her card in the mail,0,0,14,62,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,5,1,2,SEND_MESSAGE
154,how is the weather in edesville mn,0,0,7,34,1,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,1,0,3,0,0,GetWeather
155,play a soundtrack by mike hindert on spotify,0,0,8,44,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,1,0,4,0,0,PlayMusic
156,i want to hear a fourties ballad by luciano,0,0,9,43,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,3,0,3,0,0,PlayMusic
157,when did the angel of the north get built,0,0,9,41,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,2,0,0,SEARCH
158,play 2004 guy sebastian on itunes,0,0,6,33,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,4,0,0,PlayMusic
159,where is the new stadium being built in las vegas,0,0,10,49,0,0,1,0,0,0,0,0,1,5,0,0,1,0,0,0,1,0,3,1,3,0,0,SEARCH
160,Show me who sent the latest message,0,0,7,35,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,1,2,0,1,GET_MESSAGE
161,who has been a chief minister governer vice president and president of india,0,0,13,76,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,2,1,6,0,0,SEARCH
162,what type of planet is neptune known as,0,0,8,39,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,1,2,0,0,SEARCH
163,play a new soundtrack by benjamin darvill on groove shark,0,0,10,57,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,0,1,1,5,0,0,PlayMusic
164,play me a mel draisey tune from the fourties with vimeo,0,0,11,55,0,0,0,0,0,0,0,0,0,5,2,1,0,0,2,0,0,0,1,0,5,0,0,PlayMusic
165,Send a thank you text to my parents,0,0,8,35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,SEND_MESSAGE
166,icc world cup outside england first time sponsor,0,0,8,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,5,0,0,SEARCH
167,when does the new season of sabrina start on netflix,0,0,10,52,0,1,0,0,0,0,0,0,0,5,1,1,0,1,1,0,1,1,1,2,3,0,0,SEARCH
168,Did my mom text me?,0,1,5,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,GET_MESSAGE
169,i want to hear a good album from toni cottura,0,0,10,45,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,2,1,4,0,0,PlayMusic
170,where was because i could not stop for death published,0,0,10,54,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,1,2,0,0,SEARCH
